ticker,name
AAPL,애플
MSFT,마이크로소프트
AMZN,아마존
GOOGL,알파벳(구글)
META,메타(페이스북)
NVDA,엔비디아
TSLA,테슬라
BRK-B,버크셔해서웨이
JPM,JP모건체이스
V,비자
JNJ,존슨앤드존슨
WMT,월마트
MA,마스터카드
PG,프록터앤드갬블
UNH,유나이티드헬스
HD,홈디포
DIS,월트디즈니
NFLX,넷플릭스
AMD,AMD
INTC,인텔
KO,코카콜라
PEP,펩시코
ORCL,오라클
CRM,세일즈포스
ADBE,어도비
COST,코스트코
AVGO,브로드컴
005930.KS,삼성전자
000660.KS,SK하이닉스
035420.KS,NAVER
005380.KS,현대차
000270.KS,기아
005490.KS,POSCO홀딩스
051910.KS,LG화학
006400.KS,삼성SDI
035720.KS,카카오
207940.KS,삼성바이오로직스
068270.KS,셀트리온
105560.KS,KB금융
055550.KS,신한지주
015760.KS,한국전력
066570.KS,LG전자
360200.KS,ACE 미국S&P500
466950.KS,TIGER 글로벌AI액티브
476760.KS,ACE 미국30년국채액티브
0072R0.KS,TIGER KRX금현물
