Date,Close,High,Low,Open,Volume,ma20,ma50,ma200,momentum20,rsi14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,bb_pct,obv,state,signal
2026-07-22,12980.0,13070.0,12835.0,12855.0,342120,,,,,,,,,,,,,342120,bear,hold
2026-07-23,12810.0,13065.0,12805.0,13065.0,555421,,,,,,,,,,,,,-213301,bear,hold
2026-07-24,12590.0,12740.0,12520.0,12720.0,603300,,,,,,,,,,,,,-816601,bear,hold
2026-07-27,12795.0,12840.0,12680.0,12680.0,221314,,,,,,,,,,,,,-595287,bear,hold
2026-07-28,12530.0,12760.0,12300.0,12740.0,430006,,,,,,,,,,,,,-1025293,bear,hold
2026-07-29,12420.0,12470.0,12280.0,12470.0,560432,,,,,,,,,,,,,-1585725,bear,hold
2026-07-30,12345.0,12540.0,12300.0,12420.0,383850,,,,,,,,,,,,,-1969575,bear,hold
2026-07-31,12450.0,12520.0,12360.0,12360.0,339731,,,,,,,,,,,,,-1629844,bear,hold
2026-08-03,12335.0,12480.0,12315.0,12450.0,235170,,,,,,,,,,,,,-1865014,bear,hold
2026-08-04,12440.0,12450.0,12295.0,12345.0,281539,,,,,,,,,,,,,-1583475,bear,hold
2026-08-05,12720.0,12730.0,12410.0,12450.0,535539,,,,,,,,,,,,,-1047936,bear,hold
2026-08-06,12965.0,13055.0,12895.0,13000.0,1004561,,,,,,,,,,,,,-43375,bear,hold
2026-08-07,13040.0,13050.0,12870.0,12980.0,480099,,,,,,,,,,,,,436724,bear,hold
2026-08-10,13220.0,13220.0,13085.0,13220.0,692495,,,,,65.53699648991135,,,,,,,,1129219,bear,hold
2026-08-11,13335.0,13460.0,13280.0,13345.0,1030861,,,,,68.30836264798353,,,,,,,,2160080,bear,hold
2026-08-12,13365.0,13440.0,13250.0,13300.0,653544,,,,,69.0085129778073,,,,,,,,2813624,bear,hold
2026-08-13,13330.0,13490.0,13305.0,13410.0,893361,,,,,67.14475219765922,,,,,,,,1920263,bear,hold
