,Close,High,Low,Open,Volume,ma20,ma50,ma200,momentum20,rsi14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,bb_pct,obv,state,signal
2021-05-27,348406.71875,353759.3359375,344027.3046875,353272.734375,963669,,,,,,,,,,,,,963669,bear,hold
2021-05-28,348406.71875,351812.9296875,345973.7109375,351812.9296875,439112,,,,,,,,,,,,,1402781,bear,hold
2021-05-31,352786.09375,354245.8982758621,347433.47715517244,349866.48469827586,397118,,,,,,,,,,,,,1799899,bear,hold
2021-06-01,357165.53125,358625.33587363764,352786.1173790872,352786.1173790872,404110,,,,,,,,,,,,,2204009,bear,hold
2021-06-02,353272.6875,359111.9054752066,352299.48450413224,357165.4994834711,397044,,,,,,,,,,,,,1806965,bear,hold
2021-06-03,352299.5,355219.10911602207,351326.296961326,352786.101519337,292257,,,,,,,,,,,,,1514708,bear,hold
2021-06-04,347433.46875,350839.67922794115,345487.062762605,350839.67922794115,433146,,,,,,,,,,,,,1081562,bear,hold
2021-06-07,352786.09375,354245.8982758621,347433.47715517244,348893.2816810345,393697,,,,,,,,,,,,,1475259,bear,hold
2021-06-08,352786.09375,355705.70280172414,351812.8907327586,351812.8907327586,370929,,,,,,,,,,,,,1846188,bear,hold
2021-06-09,348893.3125,353759.32801603904,348893.3125,350839.7187064156,361808,,,,,,,,,,,,,1484380,bear,hold
2021-06-10,363491.3125,366897.52292503347,351812.8767570281,355219.0871820616,1502316,,,,,,,,,,,,,2986696,bear,hold
2021-06-11,362518.15625,368357.3748741611,357652.14072986576,367870.77332214767,658403,,,,,,,,,,,,,2328293,bear,hold
2021-06-14,376629.59375,377602.7968346253,365437.7582768088,367384.16444605944,1208589,,,,,,,,,,,,,3536882,bear,hold
2021-06-15,376629.59375,378575.99991925067,371276.9767845607,376629.59375,625594,,,,,77.86787422566238,,,,,,,,4162476,bear,hold
2021-06-16,380522.375,384415.1870204604,372736.7509590793,374196.5554667519,836281,,,,,79.90231384087332,,,,,,,,4998757,bear,hold
2021-06-17,379062.59375,383928.6090741335,374683.1799582799,379062.59375,670522,,,,,77.04233020021796,,,,,,,,4328235,bear,hold
2021-06-18,387334.84375,389767.8515625,380522.421875,381009.0234375,1268656,,,,,81.15808728024655,,,,,,,,5596891,bear,hold
2021-06-21,386361.625,391227.6404282116,381495.6095717884,387334.8280856423,809114,,,,,79.35560487144923,,,,,,,,4787777,bear,hold
2021-06-22,380522.375,389767.80354859337,380522.375,389281.2020460358,702840,,,,,69.39674507416463,,,,,,,,4084937,bear,hold
2021-06-23,412151.5,415557.71074380167,381982.20484061394,382468.8063754428,2721355,365973.009375,,,,82.33129847056901,,,,400742.25153583393,365973.009375,331203.7672141661,1.1640709971674061,6806292,bear,hold
2021-06-24,408258.65625,424316.5056615018,401932.8367848629,418477.28769368294,2143286,368965.60625,,,0.17178755253266775,77.96371873502912,,,,407292.85411984735,368965.60625,330638.35838015267,1.012599419262144,4663006,bear,hold
2021-06-25,399013.25,408745.28048780485,394147.23475609755,408745.28048780485,1382051,371495.9328125,,,0.14525130695402244,68.64930108189587,,,,410731.20173171343,371495.9328125,332260.66389328655,0.8506706841255373,3280955,bear,hold
2021-06-28,397066.875,401932.890625,392200.859375,395120.46875,623480,373709.971875,,,0.12551736600303576,66.83888840490584,,,,413466.24751299527,373709.971875,333953.6962370047,0.7937511468337555,2657475,bear,hold
2021-06-29,400473.09375,400473.09375,395120.4764580802,398526.68746202916,572319,375875.35,,,0.12125347691988408,68.40901727442807,,,,416499.4221529456,375875.35,335251.27784705436,0.8027483761031138,3229794,bear,hold
2021-06-30,406312.28125,413611.30426646705,398040.0551646707,403879.2735778443,955297,378527.3296875,,,0.15013782731222314,70.9484681981322,,,,419822.4691061016,378527.3296875,337232.19026889844,0.8364191519109404,4185091,bear,hold
2021-07-01,401932.875,412151.50741525425,399499.8672820823,406798.89043583535,592869,381008.9984375,,,0.14088403474884292,66.62285740891349,13292.557816980698,,,421661.6480524345,381008.9984375,340356.34882256546,0.7573494810386633,3592222,bear,hold
2021-07-02,402906.09375,407285.5078125,396093.671875,401446.2890625,517934,383782.6296875,,,0.159664022005652,67.10285879603538,13038.219782851229,,,422412.9172522649,383782.6296875,345152.3421227351,0.7475190487572594,4110156,bear,hold
2021-07-05,399013.25,406798.8743902439,397553.4454268293,404365.8667682927,492899,386093.9875,,,0.13103451941265765,63.188398647054804,12379.8281488996,,,422496.8298146129,386093.9875,349691.14518538705,0.6774485408082259,3617257,bear,hold
2021-07-06,398526.65625,401446.2654532967,397066.85164835164,400473.06238553114,342771,388381.015625,,,0.12965523106025212,62.69606965984853,11684.0969895483,,,421746.806957465,388381.015625,355015.224292535,0.6520365652938712,3274486,bear,hold
2021-07-07,406312.28125,407772.0858532934,399499.8597679641,399986.4613023952,663260,391251.9640625,,,0.16457457535819064,67.11150649862012,11626.931870517554,,,420109.4928770693,391251.9640625,362394.4352479307,0.7609425998371786,3937746,bear,hold
2021-07-08,410691.65625,419937.0845305095,407285.44583086495,407772.0473193128,1142267,393611.98125,,,0.12985274235405564,69.3118625042458,11798.99558785226,,,420666.1457393454,393611.98125,366557.8167606546,0.8156570406512903,5080013,bear,hold
2021-07-09,404365.875,412638.1010830325,397066.85198555957,408745.28880866425,1090218,395704.3671875,,,0.11543620099717411,62.77836552020552,11294.72112892248,,,419032.02365148923,395704.3671875,372376.71072351077,0.6856489061786107,3989795,bear,hold
2021-07-12,407285.46875,410205.0778449821,401932.8520758662,407285.46875,475697,397237.1609375,,,0.0813952899844319,64.44423544126835,11003.82159695268,,,419346.81303163164,397237.1609375,375127.5088433684,0.7272380354453208,4465492,bear,hold
2021-07-13,429182.5625,430155.7655895692,407772.09452947846,409718.5007086168,1498546,399864.809375,,,0.13953488950972792,73.88463670344065,12397.285891313106,12038.260570426723,359.02532088638327,423956.00987641886,399864.809375,375773.60887358116,1.1084743083532371,5964038,bear,hold
2021-07-14,432102.1875,432588.7890625,424316.5625,424316.5625,931990,402443.8,,,0.1355500120065214,74.84371107506794,13580.65636819019,12346.739729979417,1233.9166382107724,428650.7633339847,402443.8,376236.83666601527,1.0658493722074915,6896028,bear,hold
2021-07-15,436968.21875,440374.4298092984,427722.78873190423,434535.2108505011,950460,405339.08125,,,0.1527600611475528,76.39936303975438,14741.206598014804,12825.633103586495,1915.5734944283085,433309.15901153785,405339.08125,377369.0034884621,1.0654102532295027,7846488,bear,hold
2021-07-16,435021.78125,448646.62451062637,431128.96888982103,435994.9843400447,1246425,407723.428125,,,0.1231155375496733,74.41697738315695,15327.207272686297,13325.947937406458,2001.2593352798394,437235.57532190694,407723.428125,378211.280928093,0.9624935106019842,6600063,bear,hold
2021-07-19,431128.96875,437454.7888332393,426749.55484621896,431128.96875,704307,409961.7953125,,,0.11586902231814555,70.47820443541886,15301.117832355609,13720.98191639629,1580.1359159593194,439444.40410729713,409961.7953125,380479.1865177028,0.8589772802133343,5895756,bear,hold
2021-07-20,427236.15625,429669.1639735194,419450.5315347381,426749.5547052961,789090,412297.484375,,,0.12276224558411308,66.67759261333536,14795.76792517514,13935.93911815206,859.8288070230792,439385.25399992336,412297.484375,385209.71475007664,0.7757456978158693,5106666,bear,hold
2021-07-21,416530.9375,434048.59375,416530.9375,431128.984375,885519,412516.45625,,,0.01062579536893593,57.495361199232484,13377.248206726857,13824.200935867022,-446.9527291401646,439666.69807782763,412516.45625,385366.21442217234,0.5739308562232651,4221147,bear,hold
2021-07-22,428209.34375,433075.35901988635,417504.11015625,421396.9223721591,1035882,413513.990625,,,0.04886776359686795,63.414400392796324,13045.035840914352,13668.367916876488,-623.3320759621365,441420.6726822031,413513.990625,385607.30856779683,0.7632945237788834,5257029,bear,hold
2021-07-23,439887.78125,442320.78888965707,429182.5476355088,431615.55527516594,1094026,415557.7171875,,,0.10243903241308394,68.18557021604829,13567.707368087838,13648.23580711876,-80.52843903092071,444868.75096395204,415557.7171875,386246.6834110479,0.9150325138318106,6351055,bear,hold
2021-07-26,439887.78125,452539.4209762168,435508.36749861727,447673.40569690266,855277,417698.7625,,,0.10784305855279408,68.18557021604829,13822.590104556119,13683.106666606232,139.48343794988614,447545.17862354935,417698.7625,387852.3463764507,0.8717199857119943,7206332,bear,hold
2021-07-27,439887.78125,450593.0148644911,439887.78125,445240.3980572456,757638,419669.496875,,,0.09842031366183379,68.18557021604829,13864.762161851162,13719.43776565522,145.32439619594152,449908.5305459602,419669.496875,389430.46320403984,0.8343077129216676,7963970,bear,hold
2021-07-28,430155.78125,435021.796875,428209.375,434048.59375,913055,420861.671875,,,0.05868269579902097,60.03660882087719,12963.45807953988,13568.241828432152,-604.7837488922723,450778.6139409781,420861.671875,390944.7298090219,0.6553318744025209,7050915,bear,hold
2021-07-29,427722.78125,433075.39853526733,426749.57810722414,432102.19539249147,556532,422151.1671875,,,0.06416470971676547,58.16507880605567,11915.490971409483,13237.691657027619,-1322.200685618136,450893.59791420423,422151.1671875,393408.73646079574,0.5969231537074471,6494383,bear,hold
2021-07-30,421883.53125,428695.9527465398,421396.92971453286,426262.94506920414,628812,423100.0390625,,,0.047101391104239054,53.82808116505655,10492.835932601825,12688.720512142461,-2195.884579540636,450458.1392928666,423100.0390625,395741.9388321334,0.477766953804239,5865571,bear,hold
2021-08-02,421883.53125,425289.7419982699,417017.5158953287,417504.11743079586,551937,424243.553125,,,0.057317097239252046,53.82808116505655,9258.6436835918,12002.70514643233,-2744.061462840531,449293.43231340207,424243.553125,399193.6739365979,0.45289354776424134,6417508,bear,hold
2021-08-03,416530.9375,427236.171875,410691.71875,427236.171875,830841,425143.7671875,,,0.04517710664429364,49.874573037948906,7759.184799796552,11154.001077105175,-3394.8162773086224,447591.0395585515,425143.7671875,402696.49481644854,0.30815420365711504,5586667,bear,hold
2021-08-04,421396.9375,422856.7421333718,411664.9066108545,413611.31278868363,545873,425898.0,397144.71,,0.03712576987235727,53.23711374813689,6884.142257793981,10300.029313242936,-3415.887055448955,446718.35884361604,425898.0,405077.64115638396,0.3919071824408031,6132540,bear,hold
2021-08-05,430642.34375,439401.1710805085,426749.53160310735,430155.74223163846,744924,426895.534375,398789.4225,,0.04857826351323635,58.88114096544518,6857.641137902625,9611.551678174876,-2753.9105402722507,446587.213443447,426895.534375,407203.85530655296,0.5951368687752918,6877464,bear,hold
2021-08-06,432588.75,435508.3591113611,428695.93785151857,431128.94544431946,416829,428306.678125,400473.063125,,0.06979539260082213,59.976349116440396,6913.99727031932,9072.040796603766,-2158.0435262844458,445181.5810379622,428306.678125,411431.7752120377,0.6268769336655206,7294293,bear,hold
2021-08-09,435508.375,436968.1796089385,423343.33659217873,426262.9458100558,528032,429717.8234375,402127.50875,,0.06929514656297209,61.62738049004874,7112.2635020382,8680.085337690653,-1567.8218356524521,443817.17316748045,429717.8234375,415618.47370751953,0.7053481782279344,7822325,bear,hold
2021-08-10,434535.1875,441347.6092525196,430642.37506998883,434048.5859462486,461940,429985.4546875,403674.901875,,0.012471673986055754,60.72812595806056,7108.9156664670445,8365.851403445931,-1256.9357369788868,444236.39343946596,429985.4546875,415734.5159355341,0.6596292318592814,7360385,bear,hold
2021-08-11,433075.3125,436968.1242977528,430155.7036516854,433075.3125,446275,430034.1109375,405270.954375,,0.002252071450112636,59.3295570605106,6908.822169464431,8074.445556649631,-1165.6233871852,444320.2272148519,430034.1109375,415747.99466014816,0.6064390595546695,6914110,bear,hold
2021-08-12,428695.9375,436481.5617905789,426262.92990919406,435994.9602724177,671083,429620.496875,406798.883125,,-0.018931082158935575,55.22108736844549,6323.968892103818,7724.350223740468,-1400.3813316366504,443554.2897297082,429620.496875,415686.7040202918,0.466823126171005,6243027,bear,hold
2021-08-13,424803.09375,434048.5219072165,421396.8833762887,433075.318943299,515855,429109.5625,408346.275625,,-0.023490059441707567,51.78805348103467,5483.142248677614,7276.108628727898,-1792.966380050284,442962.8317015105,429109.5625,415256.2932984895,0.3445685026632402,5727172,bear,hold
2021-08-17,417017.5,425776.32730455074,408745.2742123687,423829.9212368728,763564,428403.9890625,409630.90375,,-0.03273143252450483,45.6724801086331,4140.8159782020375,6649.050098622725,-2508.2341204206878,443180.65062210034,428403.9890625,413627.3275028997,0.11471374922631745,4963608,bear,hold
2021-08-18,417504.09375,421883.5073208042,410205.07113199297,417990.6952578671,496576,427917.3859375,410925.26375,,-0.022779117257822223,46.100879400027445,3080.763661126315,5935.392811123444,-2854.6291499971285,443438.0616093589,427917.3859375,412396.7102656411,0.1645348305814832,5460184,bear,hold
2021-08-19,413124.71875,422370.14826266194,413124.71875,419450.53894287394,504352,427747.075,412209.891875,,-0.008177588849567763,42.82760128392151,1865.7780718376162,5121.4698632662785,-3255.6917914286623,443828.4216149251,427747.075,411665.72838507494,0.04536281692886888,4955832,bear,hold
2021-08-20,411178.3125,420423.74201183434,409718.5078402367,413611.3202662722,587940,426895.5234375,413163.631875,,-0.039772675441531624,41.41996810088163,737.3349825449404,4244.6428871220105,-3507.30790457707,444518.55349398614,426895.5234375,409272.49338101386,0.0540718342100513,4367892,bear,hold
2021-08-23,417990.75,424316.57043073344,412151.53114086145,416530.9452852154,515679,425800.671875,414273.08375,,-0.049778675797215066,47.877210891711584,388.26677888206905,3473.3676654740225,-3085.1008865919534,442767.5700587437,425800.671875,408833.7736912563,0.2698482718991374,4883571,bear,hold
2021-08-24,425776.34375,427236.14835714287,419937.1253214286,423343.33607142855,546884,425095.1,415256.01875,,-0.03207963053645291,54.10377380504488,731.4286075920099,2924.97985389762,-2193.55124630561,440785.70532794227,425095.1,409404.4946720577,0.5217086509972577,5430455,bear,hold
2021-08-25,418963.9375,427236.1639082462,415557.72662601626,422370.14837398374,677224,424048.9078125,416102.705625,,-0.047566321779936915,48.62964155259793,448.5124066371354,2429.6863644455234,-1981.173957808388,438386.64020615164,424048.9078125,409711.1754188484,0.3226717387070386,4753231,bear,hold
2021-08-26,412151.5,418963.92148760334,408745.2892561984,416044.3122786305,645901,423148.69375,416735.288125,,-0.04185525810598412,43.85150154395017,-321.6991457535769,1879.4092624057034,-2201.1084081592803,438087.9009128227,423148.69375,408209.48658717726,0.1319351612792652,4107330,bear,hold
