Date,Close,High,Low,Open,Volume,ma20,ma50,ma200,momentum20,rsi14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,bb_pct,obv,state,signal
2021-08-13,41753.18359375,42224.08416059681,40968.34931567199,42224.08416059681,1382277,,,,,,,,,,,,,1382277,bear,hold
2021-08-17,41753.18359375,42067.117304981206,41360.766454710996,41988.6338771734,1440176,,,,,,,,,,,,,2822453,bear,hold
2021-08-18,41596.21484375,41988.63196491745,41360.76457104953,41596.21484375,917398,,,,,,,,,,,,,1905055,bear,hold
2021-08-19,40262.0,41517.73489278753,40026.54970760234,41517.73489278753,1269467,,,,,,,,,,,,,635588,bear,hold
2021-08-20,39869.58203125,40654.41632320374,39398.68145607776,40340.48260642224,1843597,,,,,,,,,,,,,-1208009,bear,hold
2021-08-23,40105.03125,40654.415239726026,39869.580968688846,39948.064395792564,1017940,,,,,,,,,,,,,-190069,bear,hold
2021-08-24,41203.80078125,41282.284211309525,40340.483050595234,40418.96648065476,1402216,,,,,,,,,,,,,1212147,bear,hold
2021-08-25,42145.6015625,42224.084991852884,41282.28383961825,41674.70098638268,1215743,,,,,,,,,,,,,2427890,bear,hold
2021-08-26,42538.015625,42930.43274331181,41517.7311173893,42302.56535401292,2216554,,,,,,,,,,,,,4644444,bear,hold
2021-08-27,42930.4375,43008.92093235831,42067.1197440585,42459.53690585009,1461836,,,,,,,,,,,,,6106280,bear,hold
2021-08-30,41203.80078125,43008.91967261905,41203.80078125,43008.91967261905,1885591,,,,,,,,,,,,,4220689,bear,hold
2021-08-31,41517.73046875,41674.697313622404,40183.5122873346,41046.829934132795,2261916,,,,,,,,,,,,,6482605,bear,hold
2021-09-01,41674.6953125,41910.14556850283,41360.761637829564,41831.66214983522,1121570,,,,,,,,,,,,,7604175,bear,hold
2021-09-02,41674.6953125,42067.11240583804,41203.79480049435,41517.72847516478,1487899,,,,,50.83573883954934,,,,,,,,9092074,bear,hold
2021-09-03,41517.73046875,41753.1807360586,41282.2802014414,41517.73046875,1134378,,,,,49.05486369534502,,,,,,,,7957696,bear,hold
2021-09-06,40654.4140625,41517.73173564189,40418.96378800676,41517.73173564189,1528452,,,,,40.6251697555007,,,,,,,,6429244,bear,hold
2021-09-07,40340.4765625,40732.89364968385,40183.50972762646,40497.44339737354,993703,,,,,38.063648122202586,,,,,,,,5435541,bear,hold
2021-09-08,41203.80078125,41203.80078125,40340.483050595234,40340.483050595234,1697491,,,,,47.80930906354878,,,,,,,,7133032,bear,hold
2021-09-09,40654.4140625,41203.79803631757,40654.4140625,40732.89748733108,1304317,,,,,43.155672330569075,,,,,,,,5828715,bear,hold
2021-09-10,40418.96484375,40811.38197815534,40105.03113622573,40732.89855127427,1371352,41250.888671875,,,,41.30027578356253,,,,42853.48882468778,41250.888671875,39648.28851906222,0.2404456043933166,4457363,bear,hold
2021-09-13,40654.4140625,40732.89748733108,40105.03008868243,40261.99693834459,948301,41195.9501953125,,,-0.026315826403581655,43.89782187875514,,,,42801.23853675931,41195.9501953125,39590.66185386569,0.3313274572453363,5405664,bear,hold
2021-09-14,41046.83203125,41596.216016371895,40968.348604804014,40968.348604804014,2061406,41160.6326171875,,,-0.016917310291178156,48.02592278611655,,,,42746.28919009047,41160.6326171875,39574.97604428452,0.4641156263335275,7467070,bear,hold
2021-09-15,41360.76171875,41596.21197521347,40575.92753053842,40654.41094935958,1095987,41148.8599609375,,,-0.0056604459296223375,51.124283012495184,,,,42724.87275964464,41148.8599609375,39572.84716223036,0.567227169089721,8563057,bear,hold
2021-09-16,40889.86328125,41674.697509297024,40654.413012835896,41517.730663687624,974810,41180.253125,,,0.015594438459341387,46.63349426977708,,,,42708.646384813816,41180.253125,39651.85986518619,0.40500159501312577,7588247,bear,hold
2021-09-17,40889.86328125,40968.346704054704,40654.413012835896,40889.86328125,914476,41231.2671875,,,0.025590467670323136,46.63349426977709,,,,42645.081081697375,41231.2671875,39817.45329330263,0.3792613696713536,8502723,bear,hold
2021-09-23,40418.96484375,40732.89855127427,39869.58085558253,40183.5145631068,1181357,41246.9638671875,,,0.007827785790591957,42.32197178744532,-213.16937055824383,,,42616.69731810477,41246.9638671875,39877.23041627023,0.1977517695566929,7321366,bear,hold
2021-09-24,41596.21484375,41753.18169221698,40811.38060141509,40968.34744988207,1358283,41266.5845703125,,,0.009523734584178767,53.81765549763909,-143.4775408124915,,,42644.50056090326,41266.5845703125,39888.66857972174,0.6196118905972544,8679649,bear,hold
2021-09-27,41517.73046875,41988.631003367205,40889.8630892604,40889.8630892604,1014095,41235.191015625,,,-0.014897665959729967,53.05841759114317,-93.5014700337706,,,42559.121124796766,41235.191015625,39911.26090645324,0.6067048219417535,7665554,bear,hold
