Date,Close,High,Low,Open,Volume,ma20,ma50,ma200,momentum20,rsi14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,bb_pct,obv,state,signal
2021-09-07,175.46449279785156,176.4044952392578,173.8470001220703,173.89999389648438,54758000,,,,,,,,,,,,,54758000,bear,hold
2021-09-08,176.27499389648438,177.281494140625,174.7834930419922,175.58250427246094,61068000,,,,,,,,,,,,,115826000,bear,hold
2021-09-09,174.20799255371094,177.49949645996094,174.01849365234375,176.30099487304688,54384000,,,,,,,,,,,,,61442000,bear,hold
2021-09-10,173.45750427246094,175.42250061035156,173.14549255371094,175.0915069580078,47946000,,,,,,,,,,,,,13496000,bear,hold
2021-09-13,172.85850524902344,174.8979949951172,171.89999389648438,174.13999938964844,51380000,,,,,,,,,,,,,-37884000,bear,hold
2021-09-14,172.5,174.3404998779297,171.885498046875,173.77749633789062,38738000,,,,,,,,,,,,,-76622000,bear,hold
2021-09-15,173.7895050048828,174.27099609375,170.10049438476562,172.12600708007812,59150000,,,,,,,,,,,,,-17472000,bear,hold
2021-09-16,174.41200256347656,174.62750244140625,172.3070068359375,172.9980010986328,51672000,,,,,,,,,,,,,34200000,bear,hold
2021-09-17,173.12600708007812,174.87049865722656,172.60650634765625,174.42050170898438,92332000,,,,,,,,,,,,,-58132000,bear,hold
2021-09-20,167.7864990234375,170.9499969482422,165.25050354003906,169.8000030517578,93382000,,,,,,,,,,,,,-151514000,bear,hold
2021-09-21,167.18150329589844,168.98500061035156,166.6195068359375,168.75,55618000,,,,,,,,,,,,,-207132000,bear,hold
2021-09-22,169.00250244140625,169.4499969482422,167.05250549316406,167.5500030517578,48228000,,,,,,,,,,,,,-158904000,bear,hold
2021-09-23,170.8000030517578,171.447998046875,169.00250244140625,169.00250244140625,47588000,,,,,,,,,,,,,-111316000,bear,hold
2021-09-24,171.2760009765625,171.46299743652344,169.6699981689453,170.10049438476562,42324000,,,,,42.27795786667969,,,,,,,,-68992000,bear,hold
2021-09-27,170.2899932861328,170.77850341796875,166.98049926757812,168.5749969482422,72690000,,,,,38.92693389235276,,,,,,,,-141682000,bear,hold
2021-09-28,165.79800415039062,168.45950317382812,164.5050048828125,167.885498046875,88616000,,,,,28.027734341274325,,,,,,,,-230298000,bear,hold
2021-09-29,165.05599975585938,167.56500244140625,164.89349365234375,166.10549926757812,51246000,,,,,26.697968751752697,,,,,,,,-281544000,bear,hold
2021-09-30,164.2519989013672,166.3925018310547,163.69949340820312,165.8000030517578,56848000,,,,,25.297420566113573,,,,,,,,-338392000,bear,hold
2021-10-01,164.16299438476562,165.45849609375,162.7969970703125,164.45050048828125,56712000,,,,,25.140193010961127,,,,,,,,-395104000,bear,hold
2021-10-04,159.48899841308594,163.99949645996094,158.8125,163.96949768066406,90462000,170.05927505493165,,,,18.601829623393655,,,,178.92187724535881,170.05927505493165,161.19667286450448,-0.09634159441699101,-485566000,bear,hold
2021-10-05,161.0500030517578,163.0364990234375,160.1230010986328,160.22500610351562,65384000,169.33855056762695,,,-0.08215046540897786,25.56457717636495,,,,178.65831789707897,169.33855056762695,160.01878323817493,0.055324332525129284,-420182000,bear,hold
2021-10-06,163.10049438476562,163.2169952392578,159.93099975585938,160.67649841308594,50660000,168.67982559204103,,,-0.07473833480575998,33.599402195430656,,,,177.80573423055452,168.67982559204103,159.55391695352753,0.19431366079376994,-369522000,bear,hold
2021-10-07,165.1215057373047,166.28750610351562,164.1529998779297,164.57699584960938,48182000,168.2255012512207,,,-0.05215884003487814,40.42522024527089,,,,177.10676062691456,168.2255012512207,159.34424187552682,0.32525026110536853,-321340000,bear,hold
2021-10-08,164.43099975585938,166.07150268554688,164.41000366210938,165.85000610351562,39964000,167.77417602539063,,,-0.05203870858434034,38.95190789954267,,,,176.4613428510752,167.77417602539063,159.08700919970607,0.30757959777825433,-361304000,bear,hold
2021-10-11,162.31500244140625,164.62950134277344,161.90499877929688,163.75,40684000,167.24700088500975,,,-0.06099499004939335,34.7699569305437,,,,175.91565980412113,167.24700088500975,158.57834196589837,0.2155270215598077,-401988000,bear,hold
2021-10-12,162.3665008544922,163.37649536132812,161.81399536132812,162.85000610351562,36392000,166.74032592773438,,,-0.05874492258265396,34.9529947890467,-2.8963843837067884,,,175.30559449186754,166.74032592773438,158.1750573636012,0.24467671150689513,-365596000,bear,hold
