Date,Close,High,Low,Open,Volume,ma20,ma50,ma200,momentum20,rsi14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,bb_pct,obv,state,signal
2021-08-23,172.25259399414062,172.88280412834018,170.55585846967753,171.69024558785256,7395900,,,,,,,,,,,,,7395900,bear,hold
2021-08-24,173.03793334960938,174.59893058388587,172.34953701637914,172.5046706681436,5886900,,,,,,,,,,,,,13282800,bear,hold
2021-08-25,172.8828125,173.15428901351126,171.4963442198789,172.73738393717625,4842100,,,,,,,,,,,,,8440700,bear,hold
2021-08-26,171.18606567382812,173.4936306817964,170.97276059942638,172.91188687990808,4563000,,,,,,,,,,,,,3877700,bear,hold
2021-08-27,174.6571044921875,175.0449238327627,170.91459015763476,170.91459015763476,8697000,,,,,,,,,,,,,12574700,bear,hold
2021-08-30,174.50196838378906,175.8690559507813,173.42575271531678,175.00614535493304,6421300,,,,,,,,,,,,,6153400,bear,hold
2021-08-31,175.78179931640625,177.41065828174726,173.0961052903101,173.79419193098752,8620000,,,,,,,,,,,,,14773400,bear,hold
2021-09-01,177.8954620361328,178.60325386482427,176.24720746010456,176.4217365392207,7302800,,,,,,,,,,,,,22076200,bear,hold
2021-09-02,176.32476806640625,179.66006791570308,176.0242058348174,178.55476643488828,6492600,,,,,,,,,,,,,15583600,bear,hold
2021-09-03,175.4909210205078,176.28596986343993,173.67784275852392,176.28596986343993,6847400,,,,,,,,,,,,,8736200,bear,hold
2021-09-07,178.72927856445312,179.90245655796474,174.5698589034511,175.51033640061416,10702900,,,,,,,,,,,,,19439100,bear,hold
2021-09-08,179.51461791992188,181.75432130621766,178.32205934389643,178.72927410657925,8634000,,,,,,,,,,,,,28073100,bear,hold
2021-09-09,180.25149536132812,181.8706641057394,178.9522842434451,179.51461787198062,7190700,,,,,,,,,,,,,35263800,bear,hold
2021-09-10,178.51596069335938,181.40526950396705,178.40930815613078,180.68778745403287,5572200,,,,,64.99581096220984,,,,,,,,29691600,bear,hold
