Date,Close,High,Low,Open,Volume,ma20,ma50,ma200,momentum20,rsi14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,bb_pct,obv,state,signal
2021-07-16,169.41000366210938,170.9499969482422,169.27999877929688,170.64999389648438,9460300,,,,,,,,,,,,,9460300,bear,hold
2021-07-19,169.61000061035156,169.91000366210938,168.88999938964844,169.50999450683594,6707400,,,,,,,,,,,,,16167700,bear,hold
2021-07-20,169.38999938964844,170.8000030517578,168.9199981689453,170.50999450683594,6540100,,,,,,,,,,,,,9627600,bear,hold
2021-07-21,168.75999450683594,169.0,168.13999938964844,168.3300018310547,4622600,,,,,,,,,,,,,5005000,bear,hold
2021-07-22,169.08999633789062,169.19000244140625,168.05999755859375,168.49000549316406,4793600,,,,,,,,,,,,,9798600,bear,hold
2021-07-23,168.55999755859375,168.8800048828125,167.9499969482422,168.5,5831500,,,,,,,,,,,,,3967100,bear,hold
2021-07-26,168.16000366210938,168.86000061035156,168.0800018310547,168.5800018310547,5229800,,,,,,,,,,,,,-1262700,bear,hold
2021-07-27,168.44000244140625,168.91000366210938,167.92999267578125,168.72999572753906,6300200,,,,,,,,,,,,,5037500,bear,hold
2021-07-28,169.2899932861328,169.3800048828125,167.72000122070312,168.25999450683594,7905800,,,,,,,,,,,,,12943300,bear,hold
2021-07-29,171.1699981689453,171.52000427246094,170.6699981689453,170.6999969482422,8119600,,,,,,,,,,,,,21062900,bear,hold
2021-07-30,169.82000732421875,170.99000549316406,169.3800048828125,170.72000122070312,7391700,,,,,,,,,,,,,13671200,bear,hold
2021-08-02,169.61000061035156,170.25,169.10000610351562,169.3000030517578,10783200,,,,,,,,,,,,,2888000,bear,hold
2021-08-03,169.49000549316406,169.8300018310547,169.2100067138672,169.4199981689453,5402300,,,,,,,,,,,,,-2514300,bear,hold
2021-08-04,169.52999877929688,171.39999389648438,168.99000549316406,171.27999877929688,9796300,,,,,51.61337702162025,,,,,,,,7282000,bear,hold
2021-08-05,168.86000061035156,169.44000244140625,168.1999969482422,169.3699951171875,8015000,,,,,44.81654942710221,,,,,,,,-733000,bear,hold
2021-08-06,164.63999938964844,165.92999267578125,164.5500030517578,165.83999633789062,13547600,,,,,23.67189354495177,,,,,,,,-14280600,bear,hold
2021-08-09,161.72000122070312,163.2899932861328,161.25999450683594,163.00999450683594,11547000,,,,,17.514314078718144,,,,,,,,-25827600,bear,hold
2021-08-10,161.77000427246094,162.11000061035156,160.67999267578125,161.38999938964844,6870800,,,,,17.90811422526258,,,,,,,,-18956800,bear,hold
2021-08-11,164.0,164.1699981689453,162.67999267578125,163.14999389648438,7382400,,,,,33.22020710168512,,,,,,,,-11574400,bear,hold
