Date,Close,High,Low,Open,Volume,ma20,ma50,ma200,momentum20,rsi14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,bb_pct,obv,state,signal
2021-09-03,152.22828674316406,152.3848355350451,151.15858753448887,152.2804785206048,4096900,,,,,,,,,,,,,4096900,bear,hold
2021-09-07,149.86280822753906,152.2196264289596,149.29750998448822,151.62825219709225,6859900,,,,,,,,,,,,,-2763000,bear,hold
2021-09-08,149.49749755859375,150.43675047793127,148.7843691923795,149.25398901693814,4661700,,,,,,,,,,,,,-7424700,bear,hold
2021-09-09,146.1666717529297,149.1322612924596,145.84488212471712,148.88006071164472,7114600,,,,,,,,,,,,,-14539300,bear,hold
2021-09-10,145.20997619628906,147.05368727164645,145.12300318434188,146.5840675096998,6699300,,,,,,,,,,,,,-21238600,bear,hold
2021-09-13,144.19247436523438,146.2101184560948,143.60979226618613,146.03618567984788,6273500,,,,,,,,,,,,,-27512100,bear,hold
2021-09-14,143.3227996826172,144.8360294592739,143.07058587302745,144.71427518678175,5259600,,,,,,,,,,,,,-32771700,bear,hold
2021-09-15,143.86199951171875,144.33163262673386,142.89665729776638,143.49673668349635,7935300,,,,,,,,,,,,,-24836400,bear,hold
2021-09-16,143.68807983398438,144.7664844277377,142.79231330611213,144.0620346909581,5665400,,,,,,,,,,,,,-30501800,bear,hold
2021-09-17,143.279296875,143.41844839065678,142.24437904140837,142.88794484865684,13419800,,,,,,,,,,,,,-43921600,bear,hold
2021-09-20,142.4618377685547,143.64459943881073,141.0355675135597,142.17484266435036,7270800,,,,,,,,,,,,,-51192400,bear,hold
2021-09-21,143.0880126953125,144.34904219314018,142.83581210383625,143.1575884754288,6663600,,,,,,,,,,,,,-44528800,bear,hold
2021-09-22,142.56619262695312,144.32294447885192,142.30530005458107,143.8011460638854,5657100,,,,,,,,,,,,,-50185900,bear,hold
2021-09-23,143.375,144.1664095267008,142.7575232790014,142.97494260368475,4697900,,,,,22.442782173080417,,,,,,,,-45488000,bear,hold
2021-09-24,142.94015502929688,144.06203285615155,142.53140565535077,143.2793286299945,4399300,,,,,21.132012177611557,,,,,,,,-49887300,bear,hold
2021-09-27,141.90518188476562,142.940099546015,141.62689217001386,142.62701532303382,5775500,,,,,18.380417383606158,,,,,,,,-55662800,bear,hold
2021-09-28,141.59217834472656,142.5488288129094,140.68771966862812,141.84439222734943,7610400,,,,,17.632650746999303,,,,,,,,-63273200,bear,hold
2021-09-29,142.6444549560547,143.2010478211357,141.5660504742387,141.75738051569348,5124100,,,,,28.207095877499185,,,,,,,,-58149100,bear,hold
2021-09-30,140.45289611816406,143.84463257391883,140.37462833923672,143.1836825459374,6972300,,,,,21.900844700966516,,,,,,,,-65121400,bear,hold
2021-10-01,139.55711364746094,140.80074578338002,137.94820537754862,140.4789694374864,8568300,144.09464569091796,,,,19.938647329031582,,,,150.26752787862978,144.09464569091796,137.92176350320614,0.13246244578506985,-73689700,bear,hold
2021-10-04,138.46998596191406,140.01801010518616,137.1219838317023,139.1396410302524,8620700,143.40673065185547,,,-0.09037939712520493,17.848632138759598,,,,148.8203895032752,143.40673065185547,137.99307180043573,0.04404730465729866,-82310400,bear,hold
2021-10-05,138.78311157226562,140.11371684144834,138.40914341538084,139.0266201659577,5129000,142.8527458190918,,,-0.07393226369047456,20.435624384975867,,,,147.75371394037225,142.8527458190918,137.95177769781137,0.08481323014982825,-77181400,bear,hold
2021-10-06,139.07008361816406,139.10486486711213,137.26984545246683,139.03528909899512,7312600,142.3313751220703,,,-0.06974975575322118,22.83397217165357,,,,146.45003272380163,142.3313751220703,138.212717520339,0.10408319660569294,-69868800,bear,hold
2021-10-07,140.31370544433594,141.4181991188364,139.16573852936418,139.16573852936418,5309200,142.03872680664062,,,-0.04004309763916092,32.350749657194626,,,,145.84570282844024,142.03872680664062,138.231750784841,0.27343942378060415,-64559600,bear,hold
2021-10-08,139.95713806152344,140.54852542691856,139.36576396634854,140.29632489108698,4343200,141.77608489990234,,,-0.036174085778135856,31.164011024847568,,,,145.39165970183183,141.77608489990234,138.16051009797286,0.24845675473119666,-68902800,bear,hold
2021-10-11,139.3657989501953,140.75728805435534,139.0962010879424,139.89630267825618,4101600,141.53475112915038,,,-0.03347383721853103,29.247798859115235,-2.360469116786305,,,145.1171415678049,141.53475112915038,137.95236069049585,0.19727585307958775,-73004400,bear,hold
2021-10-12,137.139404296875,139.3048921030795,136.83501195878597,139.14835657164267,6686400,141.22558135986327,,,-0.04314313842204509,23.411153716929405,-2.458468947308745,,,145.18481975875858,141.22558135986327,137.26634296096796,-0.016030692181655315,-79690800,bear,hold
2021-10-13,138.45262145996094,139.21794171912254,137.1915920476404,137.25247582744746,6901100,140.9551124572754,,,-0.037601159931863526,32.027487399025745,-2.4024746368757803,,,144.89601034699865,140.9551124572754,137.01421456755213,0.1824973562699712,-72789700,bear,hold
2021-10-14,139.2440185546875,140.1397850189245,138.8004879550876,138.89615297894886,4579200,140.73290939331054,,,-0.03092853133281126,36.65266005777983,-2.268094430126723,,,144.53092541525507,140.73290939331054,136.934893371366,0.3039909744955811,-68210500,bear,hold
2021-10-15,140.2789306640625,140.72246124502928,139.50491851087307,140.04411411168218,6918400,140.58289108276367,,,-0.02094068212489264,42.19221245104502,-2.0544064710412613,,,144.19942329261482,140.58289108276367,136.9663588729125,0.4579762599828088,-61292100,bear,hold
2021-10-18,139.2527313232422,139.92238659017045,138.45262976350722,139.36579362382338,7465500,140.42243576049805,,,-0.022526077829531088,38.58875039960998,-1.9454371459993922,,,143.97547649354325,140.42243576049805,136.86939502745284,0.3353938886237677,-68757600,bear,hold
2021-10-19,142.51400756835938,143.6271933934383,139.7832215177405,139.93106505870327,10081300,140.39373550415038,,,-0.004011552862750234,52.47909191647875,-1.577733306017052,,,143.868599253742,140.39373550415038,136.91887175455878,0.8050870792355789,-58676300,bear,hold
2021-10-20,142.43572998046875,143.27931792150287,141.98349412326408,142.6096627654795,6003200,140.38721237182617,,,-0.0009151022699031008,52.17405380629245,-1.2779107511501877,,,143.84619230402936,140.38721237182617,136.92823243962297,0.7961158562342082,-64679500,bear,hold
2021-10-21,142.1052703857422,142.96625571955178,141.1312360228066,142.88798794472078,4524100,140.32372589111327,,,-0.008856004284274244,50.83079315984055,-1.054805403740943,-1.7586237685073167,0.7038183647663738,143.60296204059588,140.32372589111327,137.04448974163066,0.7716401645715578,-69203600,bear,hold
2021-10-22,142.38357543945312,142.6792625507666,141.722625437066,141.80958520909888,4304300,140.2958969116211,,,-0.0038937945025292464,51.95271340844752,-0.8457862195346593,-1.5760562587127853,0.730270039178126,143.49429458248807,140.2958969116211,137.09749924075413,0.8263631891130869,-64899300,bear,hold
2021-10-25,142.69662475585938,142.8966467796395,140.6354942089525,142.38354045896796,6715400,140.3354690551758,,,0.0055772654710837255,53.24504157294624,-0.6474135659897797,-1.3903277201681843,0.7429141541784046,143.63065084899046,140.3354690551758,137.04028726136113,0.8582739661155679,-58183900,bear,hold
2021-10-26,144.14903259277344,144.39254120914026,142.67058363048216,143.11411433810224,6939100,140.46331176757812,,,0.018057877758062668,58.78402457520583,-0.3687538696296997,-1.1860129500604875,0.8172590804307878,144.12195055013103,140.46331176757812,136.8046729850252,1.0037011091080585,-51244800,bear,hold
2021-10-27,142.4009246826172,144.15766276583176,142.02695665129065,144.08808700953335,7018800,140.45113525390624,,,-0.0017072536995043075,50.95897060747962,-0.28567862605939354,-1.0059460852602689,0.7202674592008753,144.08217316492247,140.45113525390624,136.82009734289002,0.7684892689767117,-58263600,bear,hold
2021-10-28,141.626953125,143.6706868108232,141.1660252192063,142.42705464581593,6278800,140.50983810424805,,,0.00835908008509989,47.91763170508372,-0.2790769084731437,-0.8605722499028439,0.5814953414297002,144.1768752087443,140.50983810424805,136.8428009997518,0.6523184779589809,-64542400,bear,hold
2021-10-29,141.6530303955078,141.97480672169874,139.67885938270493,141.19210252871818,8526800,140.6146339416504,,,0.015018344054760435,48.03017438289336,-0.2686440208824479,-0.7421866040987648,0.4735425832163169,144.28656441490992,140.6146339416504,136.94270346839087,0.641396529893395,-56015600,bear,hold
2021-11-01,141.7747802734375,142.6096629506616,138.6265397987049,141.8965345501252,5846400,140.77987365722657,,,0.023866502827785574,48.58874210539086,-0.24769639480550154,-0.6432885622401122,0.3955921674346107,144.34682496848265,140.77987365722657,137.2129223459705,0.639461760113089,-50169200,bear,hold
2021-11-02,144.00985717773438,145.21870806249404,141.73999895294426,142.36616765428099,8450600,141.0412109375,,,0.037661251043122235,57.598522168033554,-0.05016495300864676,-0.5246638403938192,0.47449888738517243,144.74784012105636,141.0412109375,137.33458175394367,0.9004509344236696,-41718600,bear,hold
