Date,Close,High,Low,Open,Volume,ma20,ma50,ma200,momentum20,rsi14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,bb_pct,obv,state,signal
2021-06-14,126.81375122070312,126.86496287241123,125.29439841551286,125.87482752496642,3831900,,,,,,,,,,,,,3831900,bear,hold
2021-06-15,126.82225036621094,127.32584884754756,126.38693841147773,127.0953834483014,4256500,,,,,,,,,,,,,8088400,bear,hold
2021-06-16,125.55899810791016,127.41122641983176,125.26024614417366,127.06126281072898,5492100,,,,,,,,,,,,,2596300,bear,hold
2021-06-17,126.77105712890625,127.18076332367484,125.39682151430159,125.68702952624913,5316400,,,,,,,,,,,,,7912700,bear,hold
2021-06-18,124.12503051757812,126.310147964191,123.96285159353107,126.310147964191,10661700,,,,,,,,,,,,,-2749000,bear,hold
2021-06-21,125.09806823730469,125.25171619893986,124.15061371758354,124.40668497075885,4904300,,,,,,,,,,,,,2155300,bear,hold
2021-06-22,125.28582763671875,125.90039331041709,124.86757757357557,125.24314693242702,3518000,,,,,,,,,,,,,5673300,bear,hold
2021-06-23,123.63849639892578,124.73105503058802,123.6214215072143,124.67129942176098,3901700,,,,,,,,,,,,,1771600,bear,hold
2021-06-24,124.33839416503906,124.56885958741489,123.43362038930556,123.64701092223609,3818900,,,,,,,,,,,,,5590500,bear,hold
2021-06-25,124.97003936767578,125.29438413296319,123.97137320022833,124.41521614732164,6387600,,,,,,,,,,,,,11978100,bear,hold
2021-06-28,125.50775909423828,125.97722083031704,125.1492645933209,125.26876276029336,4282800,,,,,,,,,,,,,16260900,bear,hold
2021-06-29,125.42241668701172,126.07111919233682,124.96148586075326,125.85772866796783,3197700,,,,,,,,,,,,,13063200,bear,hold
2021-06-30,126.47232818603516,126.5918263906128,125.64437168848738,125.84068737650905,4943700,,,,,,,,,,,,,18006900,bear,hold
2021-07-01,126.4979248046875,127.24906376410766,126.27600330500724,126.3955015008853,3997600,,,,,54.26209209750976,,,,,,,,22004500,bear,hold
2021-07-02,127.10394287109375,127.84653777374413,126.80519090889027,127.09539891402663,3835500,,,,,58.343327237792565,,,,,,,,25840000,bear,hold
2021-07-06,127.29169464111328,127.5392218698249,126.1308498966862,127.2404830092641,4313800,,,,,59.547648209348374,,,,,,,,30153800,bear,hold
2021-07-07,127.85505676269531,128.6318013724037,127.1807484579495,127.42827572760153,4225000,,,,,63.003874729996646,,,,,,,,34378800,bear,hold
2021-07-08,127.914794921875,128.60617802058547,127.34290997572779,127.53922557829848,4216000,,,,,63.361350618804316,,,,,,,,38594800,bear,hold
2021-07-09,127.59046936035156,128.29892752345754,127.32586717188461,127.53072678117762,4088600,,,,,59.97320699058455,,,,,,,,34506200,bear,hold
2021-07-12,127.61605072021484,127.85504703974661,126.99295410317292,127.59898885762156,4873700,126.13471755981445,,,,60.15419388811879,,,,128.6718335300488,126.13471755981445,123.5976015895801,0.7919324890504664,39379900,bear,hold
2021-07-13,130.56089782714844,131.37177942398029,128.67451937460118,129.01593909190066,8750800,126.32207489013672,,,0.029548424917451355,74.46694097537615,,,,129.5036693612753,126.32207489013672,123.14048041899814,1.1661475834622594,48130700,bear,hold
2021-07-14,131.9094696044922,132.4216120291891,130.42428001665235,130.50109747306,6390300,126.57643585205078,,,0.040112986669069706,78.30939021935983,,,,130.58361768226817,126.57643585205078,122.56925402183337,1.1654344597275348,54521000,bear,hold
2021-07-15,132.5155487060547,132.60944108118343,130.81695501938995,131.5083514313347,4920600,126.92426338195801,,,0.05540463609120083,79.78198649754643,,,,131.659360703456,126.92426338195801,122.18916606046001,1.0904087017083548,59441600,bear,hold
2021-07-16,133.00204467773438,133.87266858988008,132.39600989246597,132.88253348756817,5852500,127.23581275939941,,,0.04915149948219,80.90275832089654,,,,132.65947252475934,127.23581275939941,121.81215299403948,1.0315812724060414,65294100,bear,hold
2021-07-19,132.9849395751953,134.47012886689848,132.09722795263409,133.1471184114894,5750200,127.67880821228027,,,0.07137890738614949,80.73330013838904,,,,133.44996095353622,127.67880821228027,121.90765547102431,0.9597115689715997,59543900,bear,hold
2021-07-20,133.00204467773438,134.290918682492,132.78011020950944,133.32638939969476,5213500,128.07400703430176,,,0.06318224215450119,80.77666247636054,1.738718416685117,,,134.15815044623233,128.07400703430176,121.98986362237119,0.9049902599081646,64757400,bear,hold
2021-07-21,132.50698852539062,133.25811433630844,131.93510346649467,132.55820016882544,4905900,128.43506507873536,,,0.057637492004366964,75.4817272557805,1.7727208294999173,,,134.66971226366758,128.43506507873536,122.20041789380313,0.826556044462004,59851500,bear,hold
2021-07-22,132.46429443359375,132.95081802140282,131.42294770786265,132.46429443359375,3333500,128.87635498046876,,,0.0713838997701095,75.02497718953498,1.7757531532485018,,,134.93749365483353,128.87635498046876,122.81521630610399,0.7959789938728813,56518000,bear,hold
2021-07-23,134.16287231445312,134.68354566864488,132.50697293284406,132.78010600713066,3588400,129.36757888793946,,,0.07901403436474874,80.16693954919296,1.8933914925133024,,,135.47028597191667,129.36757888793946,123.26487180396227,0.8928824831773274,60106400,bear,hold
2021-07-26,134.06900024414062,134.41041986153914,133.18128839998678,133.82999088277342,2999800,129.8225269317627,,,0.07280913827429214,79.19650857315379,1.9564928012284213,,,135.90266875985878,129.8225269317627,123.7423851036666,0.8492084093133444,57106600,bear,hold
2021-07-27,134.81163024902344,135.4261961401458,134.03488543880945,134.2738818382096,4043900,130.28772048950196,,,0.07412984840084103,81.14141710304987,2.0428760742440204,,,136.3997815615814,130.28772048950196,124.17565941742254,0.8700805428947033,61150500,bear,hold
2021-07-28,133.57395935058594,134.82869688274155,133.0788916894889,134.5214139560029,3556800,130.69529762268067,,,0.06499270926915868,69.48255643605808,1.9885430560846373,,,136.53639777788965,130.69529762268067,124.85419746747168,0.7464143441658108,57593700,bear,hold
2021-07-29,133.8470458984375,134.3762501341304,133.3263725933997,134.20554035077672,3055600,131.06403350830078,,,0.058310919219850765,70.49009380839216,1.9450976746649076,,,136.7204100583534,131.06403350830078,125.40765695824818,0.7460066409573483,60649300,bear,hold
2021-07-30,133.96658325195312,134.52140649061295,133.68490616604745,134.32507780919886,3757300,131.43746643066407,,,0.05904174680175367,70.9423264100463,1.8984286584522465,1.8981490279288655,0.0002796305233809804,136.81816121388664,131.43746643066407,126.05677164744151,0.7350176810971548,64406600,bear,hold
2021-08-02,133.42881774902344,134.10312599658988,132.73742159036806,134.00923365585808,3425900,131.75371017456055,,,0.0497614372541082,66.03923428056059,1.7973314271863785,1.8779855077803682,-0.08065408059398971,136.8122718925136,131.75371017456055,126.69514845660751,0.6655715268351734,60980700,bear,hold
2021-08-03,133.72760009765625,134.13730634295607,133.42031715759973,134.00927721140198,3359900,132.07550544738768,,,0.05056029362079273,67.387857521109,1.7214762746361032,1.8466836611515154,-0.1252073865154122,136.76295354048045,132.07550544738768,127.3880573542949,0.6762253807890726,64340600,bear,hold
2021-08-04,131.4912567138672,133.71905452938415,131.33760874849088,133.31787926198385,4846300,132.2573154449463,,,0.02844001671299412,51.04766175944193,1.464029873508025,1.7701529036228174,-0.30612303011479236,136.54051308468811,132.2573154449463,127.97411780520449,0.41057396885317554,59494300,bear,hold
2021-08-05,131.71319580078125,132.46433478898265,131.33762630668053,132.28508097613386,3733500,132.4472354888916,,,0.02969477362822781,52.28422845717727,1.2633472941044204,1.668791781719138,-0.40544448761471763,136.25370627788962,132.4472354888916,128.6407646998936,0.40358001823736833,63227800,bear,hold
2021-08-06,131.73025512695312,132.09728061915388,131.14129512846776,131.25226238161008,3430900,132.65422477722169,,,0.03244588555364292,52.38379459234904,1.0930810907437376,1.553649643524058,-0.4605685527803205,135.7691916033654,132.65422477722169,129.53925795107796,0.3516886853314554,66658700,bear,hold
2021-08-09,131.74728393554688,132.12284022958028,131.2010048427554,131.99481115483263,2636600,132.86078643798828,,,0.032372363758453426,52.490365450575936,0.9485833025769637,1.4326363753346394,-0.48405307275767573,135.01025526109353,132.86078643798828,130.71131761488303,0.2409819369157508,69295300,bear,hold
2021-08-10,131.81561279296875,132.56675174518168,131.28640836263315,131.71318949014932,2670200,132.92352218627929,,,0.009610189472513131,52.945447708111615,0.83001345372125,1.3121117910119615,-0.4820983372907115,134.86389668370018,132.92352218627929,130.9831476888584,0.21451145261310434,71965500,bear,hold
2021-08-11,132.3362274169922,133.1727274323045,131.84970392071358,132.0545634595428,3058000,132.9448600769043,,,0.0032352325710924834,56.37429073010428,0.7691885170330863,1.2035271362161866,-0.43433861918310024,134.8492115332843,132.9448600769043,131.0405086205243,0.34019949209662703,75023500,bear,hold
2021-08-12,132.36187744140625,132.55819307217115,131.96070222354513,132.49843747514672,1958700,132.9371765136719,,,-0.0011596470463198782,56.54231370154396,0.7148141267943515,1.1057845343318196,-0.39097040753746803,134.84961747246544,132.9371765136719,131.02473555487833,0.34959037045813984,76982200,bear,hold
2021-08-13,133.5995635986328,133.72759272312663,132.21678393246967,132.38750679756276,2113800,132.9670524597168,,,0.004492554399041282,63.789481789310955,0.7627998777331584,1.0371876030120872,-0.27438772527892885,134.9011594594936,132.9670524597168,131.03294545993998,0.6635150327745578,79096000,bear,hold
2021-08-16,134.90548706054688,134.96522963248515,133.77877888238314,133.94948869062273,3224000,133.06307983398438,,,0.014441841997195448,69.55802815523072,0.8958789060261267,1.0089258636148952,-0.11304695758876848,135.173844295195,133.06307983398438,130.95231537277374,0.936431269433488,82320000,bear,hold
2021-08-17,134.7774658203125,135.24692763395862,134.21412466826268,134.78600977785868,3736300,133.15185089111327,,,0.013348825928804375,68.40753359588356,0.9797211351711326,1.0030849179261427,-0.023363782755010165,135.39035132942877,133.15185089111327,130.91335045279777,0.8631035539181149,78583700,bear,hold
2021-08-18,133.39468383789062,135.03352150564288,133.3263973070271,134.58966556719204,3419200,133.19623565673828,,,0.006699233922518033,57.369861801567126,0.9239371835084,0.9872553710425942,-0.06331818753419416,135.41696262251398,133.19623565673828,130.97550869096258,0.5446809049943305,75164500,bear,hold
2021-08-19,135.6396026611328,136.07491479172515,132.9679482098824,133.00209799914168,4745600,133.35500106811523,,,0.023971050018545936,66.7497905909397,1.0487844530511268,0.9995611874443008,0.049223265606825994,135.78762584516772,133.35500106811523,130.92237629106273,0.969575417994742,79910100,bear,hold
