Date,Close,High,Low,Open,Volume,ma20,ma50,ma200,momentum20,rsi14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,bb_pct,obv,state,signal
2021-09-13,74.60208892822266,74.60208892822266,74.59343555668735,74.59343555668735,1095900,,,,,,,,,,,,,1095900,bear,hold
2021-09-14,74.6107177734375,74.61937114289377,74.60207100456816,74.6107177734375,1422900,,,,,,,,,,,,,2518800,bear,hold
2021-09-15,74.6107177734375,74.6107177734375,74.59341763511189,74.60207100456816,1790500,,,,,,,,,,,,,4309300,bear,hold
2021-09-16,74.58475494384766,74.5934083122224,74.5761015754729,74.58475494384766,1095300,,,,,,,,,,,,,3214000,bear,hold
2021-09-17,74.5674819946289,74.57612876557013,74.5674819946289,74.57612876557013,2905000,,,,,,,,,,,,,309000,bear,hold
2021-09-20,74.58475494384766,74.5934083122224,74.5761015754729,74.58475494384766,2407400,,,,,,,,,,,,,2716400,bear,hold
2021-09-21,74.60208892822266,74.61073569916944,74.59343555668735,74.59343555668735,1931300,,,,,,,,,,,,,4647700,bear,hold
2021-09-22,74.55883026123047,74.60209051924106,74.54153011837943,74.58478377580137,1606100,,,,,,,,,,,,,3041600,bear,hold
2021-09-23,74.51557159423828,74.54153170995211,74.51557159423828,74.5328783380475,2855800,,,,,,,,,,,,,185800,bear,hold
2021-09-24,74.4896240234375,74.5242309132288,74.4896240234375,74.51557754063364,1462800,,,,,,,,,,,,,-1277000,bear,hold
2021-09-27,74.48092651367188,74.49823324860627,74.48092651367188,74.48957988113906,1835300,,,,,,,,,,,,,-3112300,bear,hold
2021-09-28,74.4896240234375,74.49827739603265,74.48097065084234,74.4896240234375,2489500,,,,,,,,,,,,,-622800,bear,hold
2021-09-29,74.51557159423828,74.51557159423828,74.49827145101786,74.49827145101786,3552100,,,,,,,,,,,,,2929300,bear,hold
2021-09-30,74.53282928466797,74.53282928466797,74.49822242041465,74.49822242041465,4498600,,,,,40.74543260196427,,,,,,,,7427900,bear,hold
2021-10-01,74.56834411621094,74.56834411621094,74.54238728991999,74.55104176582726,3991700,,,,,51.257048579946776,,,,,,,,11419600,bear,hold
2021-10-04,74.53372955322266,74.55103850427997,74.53372955322266,74.54238402875131,12146800,,,,,43.211107790775934,,,,,,,,-727200,bear,hold
2021-10-05,74.52507781982422,74.53373229567131,74.51642994540796,74.52507781982422,3590900,,,,,41.4593475749397,,,,,,,,-4318100,bear,hold
2021-10-06,74.51644897460938,74.51644897460938,74.499140018495,74.51644897460938,3850200,,,,,39.72942841340002,,,,,,,,-8168300,bear,hold
2021-10-07,74.49044799804688,74.49910247174229,74.48180012578067,74.49910247174229,2452100,,,,,34.99150888159477,,,,,,,,-10620400,bear,hold
2021-10-08,74.46452331542969,74.49913462371954,74.45587543943127,74.49913462371954,1969600,74.54220771789551,,,,31.01943175199942,,,,74.63419975435583,74.54220771789551,74.45021568143518,0.07776561181290947,-12590000,bear,hold
2021-10-11,74.40393829345703,74.44720406936003,74.40393829345703,74.4298951184266,2012100,74.53230018615723,,,-0.0026561003533864813,24.12672401572361,,,,74.63801883592349,74.53230018615723,74.42658153639097,-0.10709199835602166,-14602100,bear,hold
2021-10-12,74.43852233886719,74.44717681116514,74.41256552340148,74.43852233886719,1945700,74.52369041442871,,,-0.0023079182148226796,33.24541194340817,,,,74.63050293036683,74.52369041442871,74.4168778984906,0.1013197759948399,-12656400,bear,hold
2021-10-13,74.41255187988281,74.42120635059398,74.39524953988744,74.39524953988744,2764300,74.51378211975097,,,-0.0026559976832877252,30.300441198740984,,,,74.62319792700175,74.51378211975097,74.40436631250019,0.03740578070161246,-15420700,bear,hold
