Date,Close,High,Low,Open,Volume,ma20,ma50,ma200,momentum20,rsi14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,bb_pct,obv,state,signal
2021-08-02,124.56734466552734,127.76439883374081,124.33198096370661,125.15576514319496,1004400,,,,,,,,,,,,,1004400,bear,hold
2021-08-03,124.29275512695312,125.77360039224503,122.42944103213402,125.07731079279611,915300,,,,,,,,,,,,,89100,bear,hold
2021-08-04,125.43034362792969,126.52871991950138,123.95930755914726,124.22409075941451,1052800,,,,,,,,,,,,,1141900,bear,hold
2021-08-05,124.13584899902344,126.09723068970641,123.59646604125469,125.82263845014317,912300,,,,,,,,,,,,,229600,bear,hold
2021-08-06,124.42024230957031,125.26363698135928,123.22379835740098,123.67491521964769,673700,,,,,,,,,,,,,903300,bear,hold
2021-08-09,123.50819396972656,125.16555622956045,123.17475522804105,124.84193397231546,650900,,,,,,,,,,,,,252400,bear,hold
2021-08-10,120.11499786376953,124.2731242549396,117.86921530712637,123.68471134293718,1341600,,,,,,,,,,,,,-1089200,bear,hold
2021-08-11,119.0362548828125,120.67401431900625,116.53549765826995,120.55632872128002,1354300,,,,,,,,,,,,,-2443500,bear,hold
2021-08-12,116.35897064208984,117.80058738615978,115.80977867925338,117.78096937923131,1292600,,,,,,,,,,,,,-3736100,bear,hold
2021-08-13,116.45703887939453,116.8591257208174,115.47634802567332,115.8490078565395,977700,,,,,,,,,,,,,-2758400,bear,hold
2021-08-16,116.18244171142578,117.28081063249387,115.03503525691983,116.03533659318927,946600,,,,,,,,,,,,,-3705000,bear,hold
2021-08-17,113.848388671875,115.16251820328874,112.40677951511907,114.85850645678656,1087300,,,,,,,,,,,,,-4792300,bear,hold
2021-08-18,111.80855560302734,115.33904084136303,111.63203096700673,113.81896717107008,1499400,,,,,,,,,,,,,-6291700,bear,hold
2021-08-19,112.00468444824219,112.8578880545915,109.83735888943376,111.3574324740377,1433100,,,,,8.473956610671365,,,,,,,,-4858600,bear,hold
2021-08-20,111.36724853515625,113.20114308532627,109.99428735543246,112.17141471845616,1478300,,,,,7.969218873040205,,,,,,,,-6336900,bear,hold
2021-08-23,114.39757537841797,114.93695079174472,111.94584854854222,111.94584854854222,878300,,,,,29.475191349397207,,,,,,,,-5458600,bear,hold
2021-08-24,114.544677734375,116.50605915118227,114.25046752902338,115.57439848895302,976500,,,,,30.326347795499075,,,,,,,,-4482100,bear,hold
2021-08-25,115.78035736083984,116.45703642993959,114.6525688884433,114.81928453437078,959100,,,,,37.1844732208486,,,,,,,,-3523000,bear,hold
2021-08-26,114.89773559570312,116.50606787940961,114.46622925741416,115.5744071473836,613300,,,,,34.56716964700347,,,,,,,,-4136300,bear,hold
2021-08-27,120.2326889038086,120.40921354462544,115.29000644301378,115.29000644301378,1406400,118.1693172454834,,,,55.126958339982735,,,,127.55502527660188,118.1693172454834,108.78360921436492,0.60992093784955,-2729900,bear,hold
2021-08-30,120.8309097290039,121.71353292466583,119.76196037353552,121.07608242323906,970800,117.98249549865723,,,-0.029995300506373,56.76736030888967,,,,126.99258815751446,117.98249549865723,108.9724028398,0.6580679765566333,-1759100,bear,hold
2021-08-31,119.19183349609375,120.95850634163796,117.60182119576474,120.95850634163796,1812900,117.72744941711426,,,-0.041039573269168184,51.24024781993006,,,,126.28608248960076,117.72744941711426,109.16881634462776,0.5855501145204518,-3572000,bear,hold
2021-09-01,117.4546127319336,120.26166771013872,117.38590890329874,120.09481662461918,1251400,117.32866287231445,,,-0.06358693331539378,46.115345285337916,,,,125.12366443504422,117.32866287231445,109.53366130958469,0.5080788861044843,-4823400,bear,hold
2021-09-02,118.63238525390625,119.36850080713391,118.13182458102814,118.21034537052954,821100,117.0534896850586,,,-0.044334201517890914,49.78243180327606,,,,124.23203759169975,117.0534896850586,109.87494177841744,0.609973186038569,-4002300,bear,hold
2021-09-03,119.62368774414062,120.16350883705549,118.13183011450633,118.34775855167227,761900,116.81366195678712,,,-0.03855123954424855,52.70016224099162,,,,123.27654486284247,116.81366195678712,110.35077905073176,0.7173972380592472,-3240400,bear,hold
2021-09-07,117.93553161621094,120.35979924605182,117.8471938548441,119.89850645013065,1289400,116.53502883911133,,,-0.045119778489203344,47.62536282729622,-0.7243083976619005,,,122.2575000126877,116.53502883911133,110.81255766553497,0.6223687052864901,-4529800,bear,hold
2021-09-08,116.6301498413086,118.16126779306576,116.30625720131239,117.77848830512647,1271000,116.36078643798828,,,-0.029012596964896442,44.089829262275735,-0.7724254228781575,,,121.84383382356917,116.36078643798828,110.87773905240739,0.5245632934003702,-5800800,bear,hold
2021-09-09,116.96385955810547,118.41646430297166,115.9333022114162,116.581080045313,764400,116.25716667175293,,,-0.01740978264770876,45.209620251859725,-0.774700659837265,,,121.61085451906885,116.25716667175293,110.903478824437,0.5660005688141533,-5036400,bear,hold
2021-09-10,118.73052978515625,121.8811033824398,117.95515385488581,117.95515385488581,1318800,116.37574462890625,,,0.020381403599393444,50.824799338900206,-0.6267237970651394,,,121.8371696121209,116.37574462890625,110.91431964569159,0.7155834020871189,-3717600,bear,hold
2021-09-13,120.05553436279297,120.75238949438324,117.89626515189788,119.68257185928326,990300,116.55566940307617,,,0.030899768000499428,54.58415386037856,-0.39794698616934454,,,122.24816620992041,116.55566940307617,110.86317259623192,0.8074103577457274,-2727300,bear,hold
2021-09-14,120.05553436279297,120.94869146056283,118.70108449284834,120.54627804601043,1197000,116.74932403564453,,,0.033336299309212114,54.58415386037855,-0.21417088662227002,,,122.63799643223436,116.74932403564453,110.86065163905471,0.7807262914696261,-1530300,bear,hold
2021-09-15,119.96722412109375,120.24203943146767,118.41647202609167,120.15370165990143,966000,117.05526580810547,,,0.05374547255872009,54.26349887437634,-0.07479076082638869,,,122.94508347224804,117.05526580810547,111.1654481439629,0.7472027555892253,-2496300,bear,hold
2021-09-16,120.86035919189453,121.53758790169631,118.08274802159805,119.28016386112684,854400,117.50785598754882,,,0.08095805853181148,57.013865332360474,0.10650975091033388,,,123.09898773088919,117.50785598754882,111.91672424420845,0.7998054202835495,-1641900,bear,hold
2021-09-17,119.10348510742188,120.6444199044753,117.20921427515776,120.01626861702384,2418000,117.86279602050782,,,0.06337949786787767,50.57154883631833,0.10719102543662018,-0.26123061955952204,0.3684216449961422,122.88365765202397,117.86279602050782,112.84193438899166,0.6235534035758129,-4059900,bear,hold
2021-09-20,114.32366180419922,116.14922157742066,112.5471644225729,116.14922157742066,1809900,118.01061668395997,,,0.026546523398301325,37.99320654485077,-0.27479320845867505,-0.26394313733935265,-0.010850071119322402,122.3910635221233,118.01061668395997,113.63016984579663,0.0791576731808211,-5869800,bear,hold
2021-09-21,113.83293151855469,115.51127436254056,113.43051802105187,115.5014573901694,1823400,117.9823844909668,,,-0.0049358026863374205,36.976356363501104,-0.61008363434307,-0.33317123674009613,-0.27691239760297387,122.46177322696965,117.9823844909668,113.50299575496393,0.036828212847314634,-7693200,bear,hold
2021-09-22,116.11976623535156,116.33569465092681,114.00957441877618,114.80457677779938,2282600,118.06113891601562,,,0.013750865881600571,44.43907530104832,-0.6833974819513884,-0.4032164857823546,-0.2801809961690338,122.34721150228117,118.06113891601562,113.77506632975008,0.27352545464523076,-5410600,bear,hold
2021-09-23,117.5233154296875,118.66184456543021,116.43386366599272,116.92460743384963,2490700,118.14828681945801,,,0.015054004915665997,48.471950882068874,-0.6210850623590005,-0.4467902010976838,-0.1742948612613167,122.31451978299265,118.14828681945801,113.98205385592337,0.4249956261158904,-2919900,bear,hold
2021-09-24,117.12089538574219,117.87663740280536,116.23755521192146,116.66941207204599,1137200,118.25944480895996,,,0.019349030496665476,47.409407825473124,-0.5972887819975483,-0.4768899172776567,-0.12039886471989159,122.18448782679884,118.25944480895996,114.33440179112107,0.3549634465096069,-4057100,bear,hold
2021-09-27,115.36402893066406,116.93440725991198,114.9419890526642,116.15903132181202,2108100,118.01601181030273,,,-0.0404936462582125,42.97980942569198,-0.711987153834599,-0.5239093645890451,-0.18807778924555385,122.02436213963168,118.01601181030273,114.00766148097378,0.16919272746269115,-6165200,bear,hold
2021-09-28,109.40638732910156,113.41085719313263,108.2678585000883,113.13603446712163,2404900,117.44478569030761,,,-0.09454966800734133,32.04557843663791,-1.2689901979474172,-0.6729255312607196,-0.5960646666866976,122.73648408731503,117.44478569030761,112.15308729330019,-0.2595291490679012,-8570100,bear,hold
2021-09-29,107.14897918701172,110.5645586824493,107.07045839673621,110.21122261436422,1556000,116.84264297485352,,,-0.10103757913478784,29.03175726204455,-1.871005309963806,-0.9125414870013369,-0.9584638229624691,123.70865052140593,116.84264297485352,109.97663542830111,-0.20591706476562385,-10126100,bear,hold
2021-09-30,107.14897918701172,109.4652900830563,107.08027536755932,107.96361553777204,1494400,116.32736129760742,,,-0.08774141181191752,29.03175726204455,-2.321347573680754,-1.1943027043372203,-1.1270448693435335,124.3771141466904,116.32736129760742,108.27760844852445,-0.07010334867866785,-8631700,bear,hold
2021-10-01,107.44342803955078,107.95379819828928,105.98101389439839,107.6691659506286,1354300,115.76791343688964,,,-0.09431621214062247,30.02727114685311,-2.6242369308213256,-1.4802895496340414,-1.1439473811872842,124.61488016197522,115.76791343688964,106.92094671180406,0.02952883988278274,-7277400,bear,hold
2021-10-04,105.28414916992188,106.67786695656478,103.29173096368838,106.42267813814361,2350000,115.05093650817871,,,-0.11987206584777044,27.032565844983523,-3.003887739482238,-1.7850091876036809,-1.218878551878557,124.8090644079828,115.05093650817871,105.29280860837461,-0.00044370388160789545,-9627400,bear,hold
2021-10-05,107.45325469970703,108.20899677924994,105.28416073704966,106.206761382443,2581800,114.52682266235351,,,-0.08888141489551782,34.13857819288344,-3.0940685559775005,-2.046821061278445,-1.0472474946990555,124.7250114623558,114.52682266235351,104.32863386235123,0.1531948907121187,-7045600,bear,hold
2021-10-06,106.98212432861328,107.38453774838368,105.02896654076497,105.8828557682167,1642600,114.04442138671875,,,-0.0827232540284204,33.378242373854405,-3.167046050857593,-2.2708660591942746,-0.8961799916633182,124.70143355630165,114.04442138671875,103.38740921713585,0.16865492195539641,-8688200,bear,hold
2021-10-07,109.36714935302734,110.9571617541089,109.13159445632623,110.27011603051088,1492100,113.66458587646484,,,-0.0649492093863765,40.59170270527396,-2.9978720514416466,-2.4162672576437494,-0.5816047937978972,124.41937825992622,113.66458587646484,102.90979349300346,0.3002082992301155,-7196100,bear,hold
2021-10-08,107.5317611694336,109.9560363362052,107.16861561027105,109.78918526912214,967300,113.10464744567871,,,-0.09432088474621403,37.249253543614685,-2.97757726823788,-2.5285292597625757,-0.44904800847530435,123.91209789740446,113.10464744567871,102.29719699395295,0.24217386879829628,-8163400,bear,hold
2021-10-11,106.02027130126953,108.3758426843897,105.92212405367182,106.90361150595896,897300,112.40288429260254,115.94986129760743,,-0.11690642281521657,34.71414800311402,-3.048318982923348,-2.6324872043947303,-0.41583177852861786,123.13628125994882,112.40288429260254,101.66948732525626,0.2026750705880657,-9060700,bear,hold
2021-10-12,105.3626708984375,107.74768558010105,104.87192719840924,107.74768558010105,978100,111.66824111938476,115.56576782226563,,-0.12238389127447846,33.64140878522521,-3.1214628771857633,-2.730282338952937,-0.39118053823282617,122.21562555338238,111.66824111938476,101.12085668538714,0.2010837018217344,-10038800,bear,hold
2021-10-13,106.46192932128906,107.2471146735018,106.09877632219256,106.63859733596387,1181200,110.99297637939453,115.20915130615235,,-0.11257487116791642,37.138407259610545,-3.055506989931004,-2.795327269148551,-0.2601797207824532,121.04632911654178,110.99297637939453,100.93962364224728,0.2746499512862409,-8857600,bear,hold
2021-10-14,110.63325500488281,110.69214184952165,108.35620465827941,109.3180580654333,1732400,110.48162117004395,114.9132095336914,,-0.08461917749866821,48.27722469977295,-2.636256231824433,-2.763513061683727,0.1272568298592942,119.45807903697333,110.48162117004395,101.50516330311457,0.5084461954306889,-7125200,bear,hold
2021-10-15,111.8110580444336,112.70421529443516,111.13383673811136,111.88957884428869,1428500,110.11699981689453,114.66671371459961,,-0.061227654727408654,50.92162463607696,-2.1837848115565492,-2.647567411658292,0.46378260010174266,118.21213254228786,110.11699981689453,102.0218670915012,0.60463437012126,-5696700,bear,hold
2021-10-18,113.63660430908203,113.71512509432485,110.47621384052356,110.79028949334062,1118000,110.08264694213867,114.45104095458984,,-0.006009757597634557,54.78062426638933,-1.6587703522116755,-2.449807999768969,0.7910376475572933,118.1116428633555,110.08264694213867,102.05365102092183,0.7213201626838506,-4578700,bear,hold
2021-10-19,114.55918884277344,114.97141167559235,113.5580676908953,114.16659245945168,1107200,110.11895980834962,114.27206085205079,,0.006380028296999241,56.63632790888439,-1.1549343844850455,-2.1908332767121843,1.0358988922271388,118.22170376349924,110.11895980834962,102.0162158532,0.7739953933507845,-3471500,bear,hold
2021-10-20,114.78496551513672,114.89292974425453,112.9201451681687,114.33348214253299,884800,110.05221977233887,114.16546020507812,,-0.011495034510399127,57.10030426641471,-0.7290187848014682,-1.8984703783300412,1.169451593528573,117.9761726349808,110.05221977233887,102.12826690969695,0.7986354048817437,-2586700,bear,hold
2021-10-21,115.36402893066406,115.63884420226313,113.85253744871466,114.10772626726573,749800,109.94425544738769,114.09201568603515,,-0.01837326058347377,58.3317266599625,-0.3408232272887801,-1.586940948121789,1.246117720833009,117.50877876549342,109.94425544738769,102.37973212928196,0.8582362863700952,-1836900,bear,hold
2021-10-22,113.97032165527344,118.57349255299607,113.76421019610568,115.36403199144857,1307200,109.78672676086425,114.04424270629883,,-0.02690018480555678,54.29228726852821,-0.14397631129388344,-1.298348020756208,1.1543717094623245,116.86230175820215,109.78672676086425,102.71115176352636,0.7956363896915242,-3144100,bear,hold
2021-10-25,115.10885620117188,116.482940239381,113.52866068045473,113.98014404520883,1159600,109.77396812438965,114.01727905273438,,-0.0022118916256431698,56.91699858858119,0.10271250474295357,-1.0181359156563756,1.1208484203993292,116.81007947008064,109.77396812438965,102.73785677869867,0.8791077069899828,-1984500,bear,hold
