Date,Close,High,Low,Open,Volume,ma20,ma50,ma200,momentum20,rsi14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,bb_pct,obv,state,signal
2021-07-26,123.11134338378906,123.54878579575112,122.52808683450634,123.10277070091095,315600,,,,,,,,,,,,,315600,bear,hold
2021-07-27,125.16132354736328,125.41864796826125,122.41656026326702,123.13705817133034,243700,,,,,,,,,,,,,559300,bear,hold
2021-07-28,124.54375457763672,125.41007972236696,123.6431256166698,125.14416952225993,113800,,,,,,,,,,,,,445500,bear,hold
2021-07-29,124.73243713378906,125.07554067829,124.17491187006026,124.77532671285942,136300,,,,,,,,,,,,,581800,bear,hold
2021-07-30,123.68601989746094,125.65882315158338,123.49731618083659,124.71530456846166,351200,,,,,,,,,,,,,230600,bear,hold
2021-08-02,124.63809967041016,125.06696933445426,123.99479517434398,124.1577677407709,267300,,,,,,,,,,,,,497900,bear,hold
2021-08-03,125.45297241210938,125.91615906350242,124.28644618854308,124.9897988487822,238100,,,,,,,,,,,,,736000,bear,hold
2021-08-04,125.18704223632812,125.3071252090684,123.6688400832056,124.99833855229878,146400,,,,,,,,,,,,,589600,bear,hold
2021-08-05,126.49079895019531,126.55941965572065,125.0669487586827,125.33284581255502,152000,,,,,,,,,,,,,741600,bear,hold
2021-08-06,126.4050521850586,127.27137736224087,126.08769279274055,126.3879068203301,126900,,,,,,,,,,,,,614700,bear,hold
2021-08-09,126.31069946289062,126.76530029831548,125.64166377724408,126.49083049582528,133400,,,,,,,,,,,,,481300,bear,hold
2021-08-10,126.44792938232422,126.85964059256396,125.90754942084098,126.45650206384843,127600,,,,,,,,,,,,,608900,bear,hold
2021-08-11,127.5887222290039,128.09478528023925,126.79103095380887,126.79103095380887,137700,,,,,,,,,,,,,746600,bear,hold
2021-08-12,127.74311065673828,128.06905578654766,127.30566831520201,127.47721356160467,111100,,,,,78.84857942231527,,,,,,,,857700,bear,hold
2021-08-13,128.45504760742188,128.62660595757322,127.7088185189089,127.95755718572504,143100,,,,,81.5234661212346,,,,,,,,1000800,bear,hold
2021-08-16,129.14122009277344,129.99895934746834,128.40356381021334,128.60942594304257,187700,,,,,83.66733994555501,,,,,,,,1188500,bear,hold
2021-08-17,129.22702026367188,129.23559294591016,128.01760457678586,128.75526097927684,126000,,,,,83.91861063034136,,,,,,,,1314500,bear,hold
2021-08-18,128.48934936523438,129.3385028932809,128.11194198029682,129.10692270639348,166600,,,,,73.45534007377246,,,,,,,,1147900,bear,hold
2021-08-19,128.91822814941406,129.87889204237544,128.4378962029334,128.4378962029334,172500,,,,,75.37753445956949,,,,,,,,1320400,bear,hold
2021-08-20,130.50502014160156,130.5736408513747,128.2834786509522,128.78954166145925,175100,126.61175956726075,,,,80.89103502565433,,,,130.6376856839946,126.61175956726075,122.5858334505269,0.9835235994717338,1495500,bear,hold
2021-08-23,128.8925018310547,130.41069112831457,128.68663966570182,130.39354576391682,219900,126.90081748962402,,,0.046958779657235716,64.96980000616043,,,,130.70392641926892,126.90081748962402,123.09770855997913,0.7618494997481743,1275600,bear,hold
2021-08-24,128.11195373535156,129.02115537990977,127.35713889621755,129.02115537990977,175200,127.04834899902343,,,0.023574616377971758,58.924069415263425,,,,130.79865268163272,127.04834899902343,123.29804531641416,0.6418024813910695,1100400,bear,hold
2021-08-25,128.41217041015625,128.841040107075,127.52011411124917,128.14626020409247,104800,127.24176979064941,,,0.031060697066974008,60.44854188062933,,,,130.85182996001285,127.24176979064941,123.63170962128598,0.662102647130285,1205200,bear,hold
2021-08-26,127.95755004882812,128.41216394569537,127.8031632479804,128.39500549402433,111900,127.40302543640136,,,0.0258562486963978,56.99872479549963,,,,130.83400767073593,127.40302543640136,123.9720432020668,0.5808113500089734,1093300,bear,hold
2021-08-27,128.0347442626953,128.66089026398922,127.86319902662251,128.2234479487942,430900,127.62046165466309,,,0.0351593847780014,57.44284787894405,,,,130.6035997265712,127.62046165466309,124.63732358275499,0.569437384064365,1524200,bear,hold
2021-08-30,128.29209899902344,128.59229996112597,127.69167089868708,128.0090434029389,231400,127.80316162109375,,,0.029316872916675063,58.96449481508266,1.0104486992152744,,,130.46340942695264,127.80316162109375,125.14291381523488,0.5918969610373992,1755600,bear,hold
