Date,Close,High,Low,Open,Volume,ma20,ma50,ma200,momentum20,rsi14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,bb_pct,obv,state,signal
2021-07-19,231.58705139160156,235.4787785182828,230.13245838853706,235.03566856809704,11474600,,,,,,,,,,,,,11474600,bear,hold
2021-07-20,233.79302978515625,235.24762295594203,230.72009882027675,231.80863309529406,7072300,,,,,,,,,,,,,18546900,bear,hold
2021-07-21,234.71783447265625,237.83891909916574,233.40774503103464,234.3614032452232,11241400,,,,,,,,,,,,,29788300,bear,hold
2021-07-22,235.18017578125,236.34577581555493,234.2265030259096,234.83338702465338,10293600,,,,,,,,,,,,,40081900,bear,hold
2021-07-23,239.88108825683594,240.83474631928493,237.7040197774055,237.7040197774055,6766000,,,,,,,,,,,,,46847900,bear,hold
2021-07-26,241.06594848632812,241.1719121285598,238.60952928826606,240.06412244060976,4879000,,,,,,,,,,,,,51726900,bear,hold
2021-07-27,241.720947265625,243.3970951488254,239.11041157549877,240.04481408122126,7038300,,,,,,,,,,,,,58765200,bear,hold
2021-07-28,237.87741088867188,242.2700585041765,236.88521262020475,240.8732758183653,9036500,,,,,,,,,,,,,49728700,bear,hold
2021-07-29,238.82144165039062,241.19116718368562,238.03154293849101,239.00447108451803,7495300,,,,,,,,,,,,,57224000,bear,hold
2021-07-30,237.34762573242188,239.34166495832028,236.97193909984972,238.13753925151212,5804700,,,,,,,,,,,,,51419300,bear,hold
2021-08-02,230.98019409179688,238.7347661028095,229.62193685098364,237.20312182638568,9989500,,,,,,,,,,,,,41429800,bear,hold
2021-08-03,228.388916015625,232.531111177901,225.4412187858284,231.79900807665197,9839000,,,,,,,,,,,,,31590800,bear,hold
2021-08-04,227.9843292236328,228.83203837339295,226.42378710593732,228.30222015479285,8171800,,,,,,,,,,,,,23419000,bear,hold
2021-08-05,231.39442443847656,231.4329499918151,227.75313494900848,227.92653668603052,5337500,,,,,44.55757933867091,,,,,,,,28756500,bear,hold
2021-08-06,232.5407257080078,233.69669802174855,231.05724946361178,231.19211094037504,4509700,,,,,47.73241037241009,,,,,,,,33266200,bear,hold
2021-08-09,231.19210815429688,233.29209608127516,229.31367521530288,232.87788394292195,5226900,,,,,44.50356010687629,,,,,,,,28039300,bear,hold
2021-08-10,229.33294677734375,232.482928687554,226.91505322384472,231.68338754465339,7185700,,,,,40.442108409361204,,,,,,,,20853600,bear,hold
2021-08-11,226.4334259033203,229.61232067172799,225.97104575299917,229.342597692474,7375700,,,,,35.0670884466449,,,,,,,,13477900,bear,hold
2021-08-12,223.5878143310547,225.82572529304244,222.84507234213154,225.61350909082506,9867000,,,,,30.74795527114472,,,,,,,,3610900,bear,hold
2021-08-13,224.41738891601562,225.01545946545826,223.21162169699807,223.79039584966173,5445400,232.9122413635254,,,,33.32615690131972,,,,243.40598208411325,232.9122413635254,222.41850064293754,0.09524193165724147,9056300,bear,hold
2021-08-16,227.031494140625,227.14724308128615,222.0540836284657,223.99296669756703,7575900,232.68446350097656,,,-0.019671036111917006,40.80480415950454,,,,243.47689025216866,232.68446350097656,221.89203674978447,0.2381048076269244,16632200,bear,hold
2021-08-17,226.2308807373047,227.33053991652488,224.96723897298065,226.6842504156431,6850500,232.30635604858398,,,-0.03234548546977978,39.349055664388956,,,,243.44137183006612,232.30635604858398,221.17134026710184,0.22719053881436851,9781700,bear,hold
2021-08-18,223.4335174560547,226.05726838389293,223.27917570292544,225.64247676221308,4996500,231.7421401977539,,,-0.048076095461404456,34.691965420480045,,,,243.45954714845792,231.7421401977539,220.0247332470499,0.14545813008568304,4785200,bear,hold
2021-08-19,223.37554931640625,224.2051027742527,220.80001838736277,220.9350636850161,5761300,231.15190887451172,,,-0.05019396905215212,34.600577485704804,,,,243.2985168145563,231.15190887451172,219.00530093446713,0.17989583608487975,-976100,bear,hold
2021-08-20,223.17300415039062,223.9446979778425,222.15051608452197,223.66495178995888,5522200,230.31650466918944,,,-0.06965152704558475,34.26097033957011,,,,242.24300261643427,230.31650466918944,218.39000672194462,0.20051977745700877,-6498300,bear,hold
2021-08-23,225.85464477539062,226.3465924497696,223.79037210421725,224.46559873145404,6342000,229.5559394836426,,,-0.06310017572556581,42.33139350534029,-2.4620931093853358,,,240.54680141283563,229.5559394836426,218.56507755444954,0.33161945204584536,-156300,bear,hold
2021-08-24,225.95111083984375,227.83210454824973,225.67136463363877,226.7227899989995,5081800,228.7674476623535,,,-0.06523984207480338,42.604360779420695,-2.315189761116983,,,238.32326492623616,228.7674476623535,219.21163039847085,0.3526375743310605,4925500,bear,hold
2021-08-25,224.35948181152344,226.68420420418056,223.86753415649957,226.68420420418056,5277100,228.0915512084961,,,-0.05682729195112568,39.29910018508853,-2.3006781741503346,,,236.85363121879115,228.0915512084961,219.32947119820105,0.28703290813439003,-351600,bear,hold
2021-08-26,222.36273193359375,224.3980672251235,222.00581489159737,223.91576042351772,5889100,227.26861572265625,,,-0.06891638205957529,35.57079291950687,-2.4223750330380938,,,234.85827441915114,227.26861572265625,219.67895702616136,0.17680471644079546,-6240700,bear,hold
2021-08-27,224.45599365234375,224.8032552186513,222.08303716276902,222.8450903282845,6369000,226.62403411865233,,,-0.05431540357859632,41.80393801281439,-2.32313232060784,,,232.72369455010994,226.62403411865233,220.52437368719472,0.3222818720262354,128300,bear,hold
2021-08-30,223.0476531982422,225.40131331332054,221.7840114279761,224.45599587522545,6448000,226.2274070739746,,,-0.034342948427873,39.065595874771915,-2.3312498633830216,,,232.17210887339735,226.2274070739746,220.28270527455186,0.2325556450921404,-6319700,bear,hold
2021-08-31,220.99298095703125,223.63601279271828,220.56854861934372,222.73892921256228,9405100,225.85761032104492,,,-0.03238307352046699,35.42022733517278,-2.474948289489987,,,232.12960363289812,225.85761032104492,219.5856170091917,0.11219431190876886,-15724800,bear,hold
2021-09-01,221.97689819335938,222.61354676288803,220.67467853987282,220.99300282463713,8177600,225.55723876953124,,,-0.026350192799351024,38.38527839824729,-2.4808388632913534,,,231.96695065803016,225.55723876953124,219.14752688103232,0.22070971063487702,-7547200,bear,hold
