Date,Close,High,Low,Open,Volume,ma20,ma50,ma200,momentum20,rsi14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,bb_pct,obv,state,signal
2021-06-23,129.28121948242188,129.86638485801046,128.77407714900335,128.87160967205935,30800,,,,,,,,,,,,,30800,bear,hold
2021-06-24,130.53932189941406,130.55881649912405,128.9984002840187,130.08094582287484,49800,,,,,,,,,,,,,80600,bear,hold
2021-06-25,133.0652618408203,133.4358675893357,131.5243401639202,131.5243401639202,40000,,,,,,,,,,,,,120600,bear,hold
2021-06-28,130.89041137695312,133.21153353906922,130.04192012952646,133.21153353906922,47700,,,,,,,,,,,,,72900,bear,hold
2021-06-29,128.85211181640625,131.54385492931848,128.70582789999798,131.38780883089964,34400,,,,,,,,,,,,,38500,bear,hold
2021-06-30,129.0277099609375,129.40806315044435,128.10121012817774,128.32551716778949,33500,,,,,,,,,,,,,72000,bear,hold
2021-07-01,129.3592529296875,129.57381259257,128.55954272552316,129.57381259257,39900,,,,,,,,,,,,,111900,bear,hold
2021-07-02,129.32022094726562,131.30000887017425,129.21294113896838,131.10494385045445,38300,,,,,,,,,,,,,73600,bear,hold
2021-07-06,128.2181854248047,129.17394166381303,126.71626788213197,129.17394166381303,62700,,,,,,,,,,,,,10900,bear,hold
2021-07-07,127.96465301513672,128.4132670226595,126.29694167761079,127.99390980339352,74600,,,,,,,,,,,,,-63700,bear,hold
2021-07-08,127.72081756591797,128.1011706381726,125.59473035280524,125.6142398358729,57300,,,,,,,,,,,,,-121000,bear,hold
2021-07-09,129.2616729736328,129.27143515196616,128.61800910251574,128.87157275590312,18600,,,,,,,,,,,,,-102400,bear,hold
2021-07-12,127.42823028564453,128.86187217162174,126.90157843129076,128.74483015877934,44900,,,,,,,,,,,,,-147300,bear,hold
2021-07-13,125.73124694824219,126.66750852850555,125.60445765055731,126.55046653011452,34300,,,,,32.87606970419263,,,,,,,,-181600,bear,hold
2021-07-14,123.58567810058594,126.29691571855143,123.34186166097483,125.76051657513212,88400,,,,,26.6598291611553,,,,,,,,-270000,bear,hold
2021-07-15,122.62016296386719,123.76122207714995,121.65464453814764,122.85422465463846,51100,,,,,24.42198332659285,,,,,,,,-321100,bear,hold
2021-07-16,121.62539672851562,124.31713241334394,121.45960332868495,123.7612312063271,46400,,,,,22.34120406610748,,,,,,,,-367500,bear,hold
2021-07-19,118.3680191040039,119.68462651571167,117.40250055348865,119.68462651571167,124500,,,,,17.17955250986884,,,,,,,,-492000,bear,hold
2021-07-20,122.58114624023438,123.15654942243964,118.76785384310584,118.93364722367143,46100,,,,,37.34328296441556,,,,,,,,-445900,bear,hold
2021-07-21,124.96080780029297,125.21437154305231,123.06878982656086,123.06878982656086,50200,127.02007637023925,,,,45.425303565585885,,,,134.17412154261288,127.02007637023925,119.86603119786561,0.3560766307502198,-395700,bear,hold
2021-07-22,123.54666900634766,124.6194598735906,122.91274476275811,124.6194598735906,28600,126.73334884643555,,,-0.04435718118248366,41.96141459894288,,,,133.9612025904656,126.73334884643555,119.50549510240549,0.2795555947213257,-424300,bear,hold
2021-07-23,123.73198699951172,124.59021831000526,123.19558778002308,124.10258536162951,57400,126.39298210144042,,,-0.052147772800196335,42.57935195352431,,,,133.51218290433462,126.39298210144042,119.27378129854623,0.3131113887919189,-366900,bear,hold
2021-07-26,124.17083740234375,124.44391062713375,123.2638399396128,123.2638399396128,46600,125.9482608795166,,,-0.06684257270027805,44.09725611562372,,,,132.427121445978,125.9482608795166,119.4694003130552,0.3628290068184289,-320300,bear,hold
