ticker,signal,date,entry_price,fwd_1M,fwd_3M,fwd_6M,hit_1M,hit_3M,hit_6M
000270.KS,golden_cross,2022-06-02,68768.75,-7.76,-4.24,-26.47,False,False,False
000270.KS,death_cross,2022-08-17,63671.7695,2.16,-15.76,1.21,False,True,False
000270.KS,golden_cross,2022-08-31,65370.7695,-12.0,-19.55,4.2,False,False,True
000270.KS,death_cross,2022-10-06,57846.6562,-5.59,-5.47,25.01,True,True,False
000270.KS,golden_cross,2023-03-14,65295.3398,13.5,7.08,4.59,True,True,True
000270.KS,death_cross,2023-11-02,67178.0391,7.13,46.11,53.07,False,False,False
000270.KS,golden_cross,2023-12-12,74794.3984,2.75,38.44,54.71,True,True,True
000270.KS,death_cross,2024-09-23,92356.1641,-7.46,-2.42,-8.52,True,True,True
000270.KS,golden_cross,2025-06-30,92825.0469,13.93,7.53,47.57,True,True,True
000660.KS,golden_cross,2022-04-07,109208.3203,-2.64,-16.92,-19.72,False,False,False
000660.KS,death_cross,2022-05-27,101991.8984,-13.88,-12.55,-25.15,True,True,True
000660.KS,golden_cross,2023-05-23,95546.8906,15.93,18.7,29.27,True,True,True
000660.KS,death_cross,2024-10-10,184395.7188,3.16,6.16,-3.88,False,False,True
000660.KS,golden_cross,2025-02-19,215803.25,-2.58,-4.19,20.38,False,False,True
003670.KS,golden_cross,2022-08-26,162924.5469,-6.42,31.19,51.3,False,True,True
003670.KS,death_cross,2023-11-16,292920.0625,24.53,7.16,-13.05,False,False,True
003670.KS,golden_cross,2025-08-29,141130.9844,4.39,58.53,40.98,True,True,True
005380.KS,golden_cross,2022-09-01,162491.1719,-8.95,-17.14,-7.48,False,False,False
005380.KS,death_cross,2022-10-31,136725.2969,2.74,7.36,31.43,False,False,False
005380.KS,golden_cross,2023-03-20,151280.3906,10.57,14.51,10.8,True,True,True
005380.KS,death_cross,2023-10-31,148847.8281,8.6,40.25,52.11,False,False,False
005380.KS,golden_cross,2024-02-07,214895.1875,5.13,6.85,6.52,True,True,True
005380.KS,death_cross,2024-11-05,199996.6562,-4.88,-4.19,-13.8,True,True,True
005380.KS,golden_cross,2025-07-28,212234.7656,2.77,24.53,137.9,True,True,True
005490.KS,golden_cross,2022-12-05,266380.5625,-4.46,12.18,35.65,False,True,True
005490.KS,death_cross,2024-01-24,372349.2812,6.75,0.93,-16.97,False,False,True
005490.KS,golden_cross,2025-07-30,304616.1875,-9.48,-2.24,21.96,False,False,True
005930.KS,golden_cross,2023-02-03,59475.5938,-5.04,1.69,6.65,False,True,True
005930.KS,death_cross,2024-09-24,60977.5742,-5.17,-14.45,-11.04,True,True,True
