,Dual Momentum,VOO (Buy&Hold),60/40 (VOO+BND)
2016-03-31,1.0088323362251832,1.0687338661320633,1.0447732541693113
2016-04-30,1.0128979548128119,1.072474749753301,1.0486516473590903
2016-05-31,1.030670044742696,1.0912921613292461,1.0596608808478012
2016-06-30,1.033991622998137,1.0948091087091512,1.070270784824425
2016-07-31,1.0720801511693765,1.1351379340610306,1.0964903044141872
2016-08-31,1.0733714994503185,1.1365052370730142,1.0959068457574288
2016-09-30,1.073682836887381,1.136834886805562,1.0965984256992523
2016-10-31,1.0544454758034711,1.1164660195210063,1.080688654750832
2016-11-30,1.093731127892896,1.158062381418378,1.0937204751873644
2016-12-31,1.1163929102674444,1.1820570881562338,1.108760367435499
2017-01-31,1.1362948775194908,1.2031296525214974,1.1214436721971797
2017-02-28,1.1803394893817185,1.2497648874535823,1.1502906720607717
2017-03-31,1.1818956923719497,1.2514126234417766,1.151019120010266
2017-04-30,1.1941872750193727,1.2644271743757878,1.1618660895824957
2017-05-31,1.2109583400388635,1.2821846825970367,1.1749572023106338
2017-06-30,1.2185833473349323,1.2902581787995537,1.1796376225522804
2017-07-31,1.2597468066367836,1.316869268811259,1.197124921518097
2017-08-31,1.267784249607343,1.3207042794789912,1.20433038923609
2017-09-30,1.2910881923644366,1.3476760873006821,1.2168295978980275
2017-10-31,1.3163173546216183,1.3790376196479852,1.2336882923424306
2017-11-30,1.3246453075790656,1.421203665499956,1.2557953311160635
2017-12-31,1.3518206564734783,1.4394333469773117,1.2681779730928264
2018-01-31,1.428897791768033,1.5198286108488495,1.3043948658274453
2018-02-28,1.3530556572103933,1.4631999135425646,1.2698273363193886
2018-03-31,1.3471225633855706,1.427093475744752,1.2545135770417233
2018-04-30,1.3548035650247006,1.4320452966416948,1.2528457015234877
2018-05-31,1.3277966804113785,1.46664990562687,1.2744282761682892
2018-06-30,1.299605697937442,1.477773815373182,1.2811890472368965
2018-07-31,1.345910585373234,1.5304268241165389,1.308390106120928
2018-08-31,1.3892465344981686,1.5797038709799138,1.3371671543137988
2018-09-30,1.3972502691821997,1.5888048695058719,1.338869430643158
