date,Q1,Q2,Q3,Q4
2022-06-30,1.0433,1.0782,1.0749,1.1708
2022-07-31,1.0222,1.0631,1.0318,1.1353
2022-08-31,0.9663,0.9602,0.8759,0.9841
2022-09-30,1.0381,1.0254,0.945,1.0609
2022-10-31,1.079,1.1113,1.0187,1.1414
2022-11-30,1.035,1.0491,0.9326,0.9885
2022-12-31,1.0534,1.1218,1.044,1.1984
2023-01-31,1.0421,1.1108,1.0058,1.2922
2023-02-28,1.078,1.126,1.0897,1.4917
2023-03-31,1.123,1.1653,1.0853,1.5158
2023-04-30,1.1008,1.1741,1.1636,1.7033
2023-05-31,1.1388,1.2441,1.1734,1.7893
2023-06-30,1.1622,1.2545,1.2766,2.0341
2023-07-31,1.1559,1.2299,1.2304,1.9275
2023-08-31,1.1115,1.2163,1.1492,1.7628
2023-09-30,1.1033,1.1726,1.1324,1.5989
2023-10-31,1.1639,1.268,1.2907,1.909
2023-11-30,1.1975,1.3216,1.3766,2.0362
2023-12-31,1.2405,1.3484,1.3725,1.8944
2024-01-31,1.2791,1.4787,1.4484,2.1174
2024-02-29,1.2946,1.5318,1.4777,2.1574
2024-03-31,1.2613,1.4648,1.4468,1.9767
2024-04-30,1.307,1.4804,1.4334,1.9483
2024-05-31,1.3111,1.5539,1.5652,2.0203
2024-06-30,1.351,1.6313,1.5241,1.9456
2024-07-31,1.4306,1.6194,1.5316,1.8918
2024-08-31,1.4227,1.6331,1.5512,2.0509
2024-09-30,1.4232,1.6243,1.4991,1.9565
2024-10-31,1.5113,1.7543,1.5716,1.8681
2024-11-30,1.4664,1.7168,1.4895,1.8494
2024-12-31,1.5168,1.8153,1.5364,1.8566
2025-01-31,1.584,1.7485,1.5013,1.7686
2025-02-28,1.5283,1.6441,1.439,1.6285
2025-03-31,1.5266,1.6242,1.451,1.6275
2025-04-30,1.5429,1.7205,1.5265,1.7396
2025-05-31,1.5145,1.9043,1.6486,1.9925
2025-06-30,1.5189,1.9767,1.728,2.1273
2025-07-31,1.5857,1.9917,1.6625,2.2273
2025-08-31,1.577,2.078,1.7455,2.449
2025-09-30,1.5775,2.292,1.9158,3.0586
2025-10-31,1.6094,2.2936,1.875,2.8485
2025-11-30,1.5851,2.3559,1.9143,2.788
2025-12-31,1.6274,2.4031,2.1651,3.189
2026-01-31,1.706,2.5401,2.3456,3.2965
2026-02-28,1.6195,2.3375,1.9557,2.9068
2026-03-31,1.6432,2.5418,2.3767,3.928
2026-04-30,1.605,2.6464,2.5295,4.9269
2026-05-31,1.645,2.573,2.4874,4.6663
