date,Q1,Q2,Q3,Q4
2022-08-31,0.9388,0.9186,0.8869,0.8585
2022-09-30,0.9938,0.9739,0.9394,0.9027
2022-10-31,1.0069,1.0558,1.0226,1.0226
2022-11-30,0.9477,1.0073,0.9524,0.9197
2022-12-31,0.9986,1.0643,1.0448,1.0993
2023-01-31,0.9684,1.0492,1.0775,1.1028
2023-02-28,1.0143,1.0684,1.1426,1.1976
2023-03-31,1.0378,1.0844,1.1326,1.163
2023-04-30,1.08,1.1178,1.1968,1.2387
2023-05-31,1.1425,1.1736,1.2429,1.2733
2023-06-30,1.2526,1.197,1.2824,1.3357
2023-07-31,1.2056,1.1665,1.2755,1.2972
2023-08-31,1.1011,1.1009,1.2448,1.2899
2023-09-30,1.0468,1.0622,1.2269,1.246
2023-10-31,1.222,1.1804,1.3237,1.3315
2023-11-30,1.2965,1.2531,1.4145,1.3852
2023-12-31,1.3126,1.2579,1.4363,1.3705
2024-01-31,1.4776,1.3195,1.504,1.3931
2024-02-29,1.5115,1.3964,1.541,1.4453
2024-03-31,1.4143,1.3574,1.4965,1.4342
2024-04-30,1.5247,1.4151,1.5039,1.4323
2024-05-31,1.6236,1.5107,1.5251,1.4279
2024-06-30,1.5286,1.4819,1.5657,1.4778
2024-07-31,1.4903,1.4883,1.603,1.4698
2024-08-31,1.4956,1.5016,1.6446,1.5231
2024-09-30,1.4532,1.4819,1.6287,1.4843
2024-10-31,1.4844,1.5627,1.7027,1.4495
2024-11-30,1.5005,1.5163,1.7121,1.3605
2024-12-31,1.5751,1.5762,1.7608,1.3806
2025-01-31,1.4923,1.5621,1.7111,1.3771
2025-02-28,1.3598,1.4719,1.6839,1.3124
2025-03-31,1.4051,1.4638,1.6382,1.3056
2025-04-30,1.4901,1.5279,1.7107,1.3865
2025-05-31,1.5667,1.6189,1.8836,1.564
2025-06-30,1.5981,1.6552,1.8939,1.6296
2025-07-31,1.5883,1.6529,1.972,1.6799
2025-08-31,1.7295,1.737,2.1216,1.8122
2025-09-30,1.8559,1.8446,2.3461,2.1453
2025-10-31,1.8107,1.8291,2.357,2.0869
2025-11-30,1.877,1.8576,2.3409,2.0623
2025-12-31,2.2895,2.0247,2.524,2.047
2026-01-31,2.486,2.1877,2.5748,2.1309
2026-02-28,2.1643,1.9422,2.4705,2.0635
2026-03-31,2.834,2.3808,2.6481,2.2343
2026-04-30,3.4192,2.7356,2.684,2.3194
2026-05-31,3.9202,2.5457,2.579,2.2868
2026-06-30,3.1336,2.463,2.5444,2.3094
