ticker,entry_date,exit_date,hold_days,hold_return_pct,cut_8pct_hit,cut_8pct_hit_date,cut_8pct_post_cut_return,cut_8pct_better_to_cut,cut_20pct_hit,cut_20pct_hit_date,cut_20pct_post_cut_return,cut_20pct_better_to_cut
000270.KS,2022-06-02,2022-08-17,76,-7.41,True,2022-06-14,0.64,False,False,,,
000270.KS,2022-08-31,2022-10-06,36,-11.51,True,2022-09-28,-3.82,True,False,,,
000270.KS,2023-03-14,2023-11-02,233,2.88,False,,,,False,,,
000270.KS,2023-12-12,2024-09-23,286,23.48,False,,,,False,,,
000270.KS,2025-06-30,2026-06-15,350,80.45,False,,,,False,,,
000660.KS,2022-04-07,2022-05-27,50,-6.61,True,2022-05-26,1.51,False,False,,,
000660.KS,2023-05-23,2024-10-10,506,92.99,False,,,,False,,,
000660.KS,2025-02-19,2026-06-15,481,960.22,True,2025-02-25,1052.42,False,True,2025-04-07,1225.28,False
003670.KS,2022-08-26,2023-11-16,447,79.79,True,2022-09-30,95.42,False,False,,,
003670.KS,2025-08-29,2026-06-15,290,49.15,True,2025-09-10,62.12,False,False,,,
005380.KS,2022-09-01,2022-10-31,60,-15.86,True,2022-09-28,-8.54,True,False,,,
005380.KS,2023-03-20,2023-10-31,225,-1.61,False,,,,False,,,
005380.KS,2024-02-07,2024-11-05,272,-6.93,False,,,,False,,,
005380.KS,2025-07-28,2026-06-15,322,204.85,False,,,,False,,,
005490.KS,2022-12-05,2024-01-24,415,39.78,False,,,,False,,,
005490.KS,2025-07-30,2026-06-15,320,29.67,True,2025-08-29,40.95,False,False,,,
005930.KS,2023-02-03,2024-09-24,599,2.53,False,,,,False,,,
005930.KS,2025-07-01,2026-06-15,349,466.2,False,,,,False,,,
006400.KS,2022-09-26,2023-08-07,315,3.52,True,2022-09-30,12.52,False,False,,,
006400.KS,2025-09-24,2026-06-15,264,169.1,False,,,,False,,,
0072R0.KS,2026-04-16,2026-06-15,60,-9.42,True,2026-05-28,-1.55,True,False,,,
015760.KS,2022-07-05,2022-08-05,31,-5.01,False,,,,False,,,
015760.KS,2023-07-04,2023-09-07,65,-13.54,True,2023-08-14,-6.03,True,False,,,
015760.KS,2024-01-17,2024-07-17,182,3.16,False,,,,False,,,
015760.KS,2024-10-15,2026-05-13,575,106.47,False,,,,False,,,
035420.KS,2023-05-30,2023-11-02,156,-5.1,True,2023-06-28,3.16,False,False,,,
035420.KS,2023-12-28,2024-03-21,84,-17.68,True,2024-01-31,-10.52,True,False,,,
035420.KS,2024-12-03,2025-06-10,189,-3.84,True,2025-03-31,4.53,False,False,,,
035420.KS,2025-06-19,2026-03-31,285,-19.2,True,2025-07-23,-12.17,True,False,,,
035720.KS,2024-01-16,2024-05-22,127,-23.07,True,2024-01-30,-16.38,True,True,2024-04-16,-3.84,True
035720.KS,2025-02-12,2026-03-12,393,20.35,True,2025-04-16,30.81,False,False,,,
051910.KS,2022-09-13,2023-08-14,335,-8.77,True,2022-09-23,-0.84,True,False,,,
051910.KS,2025-08-11,2026-06-15,308,30.75,False,,,,False,,,
055550.KS,2022-04-07,2022-08-04,119,-11.12,True,2022-07-06,-3.39,True,False,,,
055550.KS,2023-01-11,2023-04-26,105,-10.32,True,2023-03-07,-2.53,True,False,,,
055550.KS,2023-10-12,2025-01-31,477,50.32,False,,,,False,,,
055550.KS,2025-06-12,2026-06-15,368,86.1,False,,,,False,,,
066570.KS,2023-02-13,2023-09-14,213,-2.71,True,2023-08-18,5.76,False,False,,,
066570.KS,2024-06-28,2024-11-14,139,-19.12,True,2024-08-02,-12.08,True,True,2024-11-12,1.1,False
066570.KS,2025-10-16,2026-06-15,242,192.45,False,,,,False,,,
068270.KS,2022-08-12,2023-01-27,168,-16.37,True,2022-08-26,-9.09,True,True,2022-09-26,4.54,False
068270.KS,2023-06-09,2023-07-10,31,-12.25,True,2023-06-27,-4.62,True,False,,,
068270.KS,2023-12-14,2024-11-29,351,2.18,True,2024-11-12,11.06,False,False,,,
068270.KS,2025-02-07,2025-04-10,62,-8.57,True,2025-04-07,-0.62,True,False,,,
068270.KS,2025-08-05,2026-06-15,314,3.78,False,,,,False,,,
105560.KS,2022-04-07,2022-07-05,89,-17.9,True,2022-06-16,-10.76,True,False,,,
105560.KS,2023-01-11,2023-05-03,112,-13.44,True,2023-02-15,-5.92,True,False,,,
105560.KS,2023-08-30,2025-03-07,555,59.22,False,,,,False,,,
105560.KS,2025-05-29,2026-06-15,382,70.48,False,,,,False,,,
207940.KS,2022-08-05,2023-01-31,179,-11.28,True,2022-09-05,-3.57,True,False,,,
207940.KS,2024-02-07,2025-07-02,511,22.15,True,2024-05-24,32.78,False,False,,,
207940.KS,2025-07-30,2025-08-01,2,-5.83,False,,,,False,,,
207940.KS,2025-09-04,2025-09-17,13,0.29,False,,,,False,,,
207940.KS,2025-10-29,2026-04-06,159,-17.17,True,2025-11-25,-9.97,True,False,,,
247540.KQ,2022-05-04,2022-10-13,162,-18.51,True,2022-05-12,-11.42,True,True,2022-09-16,1.86,False
247540.KQ,2023-02-27,2023-11-17,263,42.69,False,,,,False,,,
247540.KQ,2024-01-12,2024-02-19,38,-19.74,True,2024-01-19,-12.76,True,True,2024-01-23,0.33,False
247540.KQ,2025-09-01,2026-06-15,287,55.62,False,,,,False,,,
360200.KS,2022-04-08,2022-05-31,53,-6.63,True,2022-05-12,1.49,False,False,,,
360200.KS,2022-09-14,2022-12-28,105,-10.94,True,2022-12-20,-3.2,True,False,,,
360200.KS,2023-04-06,2025-05-08,763,49.36,False,,,,False,,,
360200.KS,2025-07-14,2026-06-15,336,33.37,False,,,,False,,,
466950.KS,2024-08-01,2025-04-21,263,-4.29,True,2024-08-05,4.03,False,False,,,
466950.KS,2025-07-09,2026-06-15,341,141.8,False,,,,False,,,
476760.KS,2025-01-09,2025-05-20,131,-3.82,False,,,,False,,,
476760.KS,2025-10-20,2026-06-15,238,3.36,False,,,,False,,,
AAPL,2022-03-28,2022-06-03,67,-17.09,True,2022-04-26,-9.88,True,True,2022-05-19,3.64,False
AAPL,2022-09-26,2022-10-07,11,-7.08,True,2022-09-30,1.0,False,False,,,
AAPL,2023-03-22,2024-03-14,358,10.2,False,,,,False,,,
AAPL,2024-06-13,2025-04-07,298,-15.02,True,2025-04-04,-7.63,True,False,,,
AAPL,2025-09-15,2026-06-12,270,23.34,False,,,,False,,,
ADBE,2023-03-21,2024-04-10,386,30.2,True,2023-05-04,41.52,False,False,,,
ADBE,2024-08-27,2024-10-25,59,-14.81,True,2024-09-16,-7.4,True,False,,,
AMD,2023-03-16,2024-08-14,517,45.7,True,2023-04-21,58.37,False,False,,,
AMD,2025-07-16,2026-06-12,331,219.57,False,,,,False,,,
AMZN,2023-05-26,2025-04-22,697,44.18,False,,,,False,,,
AMZN,2025-07-08,2026-03-11,246,-3.06,True,2026-02-12,5.37,False,False,,,
AMZN,2026-05-06,2026-06-12,37,-13.25,True,2026-06-03,-5.71,True,False,,,
AVGO,2022-03-28,2022-06-22,86,-20.96,True,2022-04-11,-14.09,True,True,2022-06-16,-1.2,True
AVGO,2023-01-06,2025-05-05,850,254.64,False,,,,False,,,
AVGO,2025-05-15,2026-03-31,320,34.12,False,,,,False,,,
AVGO,2026-04-17,2026-06-12,56,-6.02,True,2026-06-10,2.15,False,False,,,
BRK-B,2022-03-28,2022-06-30,94,-24.07,True,2022-04-26,-17.47,True,True,2022-06-13,-5.09,True
BRK-B,2022-12-28,2025-08-04,950,51.31,False,,,,False,,,
BRK-B,2025-10-21,2025-10-29,8,-3.16,False,,,,False,,,
BRK-B,2026-01-02,2026-03-26,83,-4.34,False,,,,False,,,
COST,2022-03-28,2022-06-17,81,-20.84,True,2022-05-05,-13.96,True,True,2022-05-18,-1.05,True
COST,2022-09-02,2022-10-12,40,-10.16,True,2022-09-23,-2.35,True,False,,,
COST,2023-05-26,2025-08-20,817,103.22,False,,,,False,,,
COST,2026-03-04,2026-06-12,100,-2.28,False,,,,False,,,
CRM,2023-03-13,2024-07-10,485,44.33,False,,,,False,,,
CRM,2024-10-31,2025-04-14,165,-12.4,True,2025-04-03,-4.78,True,False,,,
DIS,2023-03-10,2023-04-12,33,4.67,False,,,,False,,,
DIS,2024-01-03,2024-07-25,204,-2.21,False,,,,False,,,
DIS,2024-12-06,2025-04-22,137,-25.92,True,2025-01-16,-19.48,True,True,2025-04-03,-7.4,True
DIS,2025-06-20,2025-12-11,174,-4.84,True,2025-11-13,3.43,False,False,,,
GOOGL,2023-05-03,2025-04-08,706,37.93,False,,,,False,,,
GOOGL,2025-07-23,2026-06-12,324,89.62,False,,,,False,,,
HD,2022-12-07,2023-04-14,128,-8.07,True,2023-03-01,-0.08,True,False,,,
HD,2023-07-19,2023-11-10,114,-8.15,True,2023-10-03,-0.16,True,False,,,
HD,2023-12-14,2025-04-08,481,-1.76,False,,,,False,,,
HD,2025-09-02,2025-12-09,98,-13.99,True,2025-11-06,-6.51,True,False,,,
INTC,2023-05-04,2024-05-03,365,-0.11,True,2023-05-25,8.57,False,False,,,
INTC,2025-08-15,2026-06-12,301,407.21,False,,,,False,,,
