ticker,signal,date,rsi,fwd_5d,fwd_10d,fwd_22d,hit_5d,hit_10d,hit_22d
000270.KS,RSI 70 돌파(과매수),2022-04-26,75.0,0.0,3.35,0.12,False,False,False
000270.KS,RSI 70 돌파(과매수),2023-01-26,73.7,0.43,3.31,9.51,False,False,False
000270.KS,RSI 70 돌파(과매수),2023-02-03,70.3,0.99,7.61,11.13,False,False,False
000270.KS,RSI 70 돌파(과매수),2023-02-09,70.0,6.69,6.56,6.42,False,False,False
000270.KS,RSI 70 돌파(과매수),2023-02-16,76.9,-0.13,2.22,1.57,True,False,False
000270.KS,RSI 70 돌파(과매수),2023-03-06,70.0,0.38,-0.64,3.57,False,True,False
000270.KS,RSI 70 돌파(과매수),2023-04-12,70.7,-0.81,-0.46,1.39,True,True,False
000270.KS,RSI 70 돌파(과매수),2023-12-15,72.3,7.05,5.04,-1.9,False,False,True
000270.KS,RSI 70 돌파(과매수),2024-01-29,71.3,18.42,17.72,25.73,False,False,False
000270.KS,RSI 70 돌파(과매수),2024-01-31,71.9,11.47,12.54,23.42,False,False,False
000270.KS,RSI 70 돌파(과매수),2024-02-07,70.3,0.96,3.23,9.76,False,False,False
000270.KS,RSI 70 돌파(과매수),2024-02-13,70.8,-0.94,-3.92,6.66,True,True,False
000270.KS,RSI 70 돌파(과매수),2024-06-17,70.9,-0.62,-0.39,-6.27,True,True,True
000270.KS,RSI 70 돌파(과매수),2025-03-25,71.9,-7.54,-16.37,-11.9,True,True,True
000270.KS,RSI 70 돌파(과매수),2025-07-30,70.6,-7.79,-6.52,-3.53,True,True,True
000270.KS,RSI 70 돌파(과매수),2025-10-20,73.1,0.26,2.79,0.0,False,False,False
000270.KS,RSI 70 돌파(과매수),2025-10-31,72.7,-8.17,-2.42,-2.42,True,True,True
000270.KS,RSI 70 돌파(과매수),2025-12-08,70.9,-1.27,-3.58,2.95,True,True,False
000270.KS,RSI 70 돌파(과매수),2026-01-14,72.9,20.35,4.69,14.76,False,False,False
000270.KS,RSI 70 돌파(과매수),2026-02-25,79.6,-15.15,-14.84,-19.35,True,True,True
000270.KS,RSI 80 돌파(극단 과매수),2023-12-20,82.7,5.26,-6.42,-7.47,False,True,True
000270.KS,RSI 80 돌파(극단 과매수),2024-02-02,83.5,-1.92,-2.85,7.45,True,True,False
000270.KS,RSI 80 돌파(극단 과매수),2026-01-19,82.9,-8.44,-11.45,1.89,True,True,False
000270.KS,RSI 80 돌파(극단 과매수),2026-02-26,82.4,-18.93,-20.24,-26.42,True,True,True
000270.KS,RSI 30 이탈(과매도),2021-10-06,27.1,12.58,11.91,17.94,True,True,True
000270.KS,RSI 30 이탈(과매도),2022-03-02,29.0,-3.47,-4.58,2.22,False,False,True
000270.KS,RSI 30 이탈(과매도),2022-03-08,27.9,-1.15,3.16,7.61,False,True,True
000270.KS,RSI 30 이탈(과매도),2022-06-17,29.2,1.84,2.5,7.88,True,True,True
000270.KS,RSI 30 이탈(과매도),2022-09-30,29.9,-6.26,-3.89,-10.29,False,False,False
000270.KS,RSI 30 이탈(과매도),2022-10-11,24.9,2.52,-1.63,-1.19,True,False,False
000270.KS,RSI 30 이탈(과매도),2022-10-24,24.7,1.53,2.76,1.53,True,True,True
000270.KS,RSI 30 이탈(과매도),2022-11-03,27.4,3.26,2.79,1.71,True,True,True
000270.KS,RSI 30 이탈(과매도),2024-08-02,29.2,-4.86,-3.64,-6.44,False,False,False
000270.KS,RSI 30 이탈(과매도),2024-10-24,29.1,1.1,4.51,6.93,True,True,True
000660.KS,RSI 70 돌파(과매수),2021-11-22,73.0,-2.93,-0.84,6.28,True,True,False
000660.KS,RSI 70 돌파(과매수),2021-12-30,71.0,-4.96,-3.05,-6.11,True,True,True
000660.KS,RSI 70 돌파(과매수),2023-01-25,72.8,0.0,3.83,-0.44,False,False,True
000660.KS,RSI 70 돌파(과매수),2023-05-19,70.8,12.23,11.72,17.16,False,False,False
000660.KS,RSI 70 돌파(과매수),2023-07-28,72.0,-6.17,-9.92,-6.72,True,True,True
000660.KS,RSI 70 돌파(과매수),2023-10-17,71.1,-2.46,-10.54,1.77,True,True,False
000660.KS,RSI 70 돌파(과매수),2024-02-23,73.2,3.16,3.22,12.27,False,False,False
000660.KS,RSI 70 돌파(과매수),2024-03-08,70.3,-6.22,-1.22,6.58,True,True,False
000660.KS,RSI 70 돌파(과매수),2024-04-01,70.3,-2.32,-3.45,-6.63,True,True,True
000660.KS,RSI 70 돌파(과매수),2024-06-12,71.1,8.6,10.23,8.51,False,False,False
000660.KS,RSI 70 돌파(과매수),2025-01-22,73.0,-15.25,-11.44,-11.09,True,True,True
000660.KS,RSI 70 돌파(과매수),2025-06-09,71.9,8.3,13.32,22.71,False,False,False
000660.KS,RSI 70 돌파(과매수),2025-07-10,71.8,-9.26,-9.26,-10.1,True,True,True
000660.KS,RSI 70 돌파(과매수),2025-07-14,71.6,-9.17,-12.67,-7.33,True,True,True
000660.KS,RSI 70 돌파(과매수),2025-09-10,70.6,9.7,17.27,59.7,False,False,False
000660.KS,RSI 70 돌파(과매수),2025-10-02,75.2,14.41,20.99,53.22,False,False,False
000660.KS,RSI 70 돌파(과매수),2025-11-10,72.3,0.0,-14.19,-3.07,False,True,True
000660.KS,RSI 70 돌파(과매수),2026-01-02,72.9,9.9,11.67,33.97,False,False,False
000660.KS,RSI 70 돌파(과매수),2026-01-23,71.9,18.51,9.39,38.59,False,False,False
000660.KS,RSI 70 돌파(과매수),2026-01-27,70.8,13.37,9.5,6.32,False,False,False
000660.KS,RSI 70 돌파(과매수),2026-02-24,72.4,-15.37,-4.8,-6.99,True,True,True
000660.KS,RSI 70 돌파(과매수),2026-04-27,72.2,23.92,52.94,82.93,False,False,False
000660.KS,RSI 70 돌파(과매수),2026-05-21,71.9,20.28,-1.48,,False,True,False
000660.KS,RSI 80 돌파(극단 과매수),2023-05-26,82.6,-0.46,9.43,6.69,True,False,False
000660.KS,RSI 80 돌파(극단 과매수),2023-06-13,81.2,-2.85,-5.44,-4.27,True,True,True
000660.KS,RSI 80 돌파(극단 과매수),2025-06-24,83.7,2.51,1.26,-3.23,False,False,True
000660.KS,RSI 80 돌파(극단 과매수),2025-09-16,81.5,2.73,3.45,46.55,False,False,False
000660.KS,RSI 80 돌파(극단 과매수),2025-10-20,82.1,10.2,27.7,15.76,False,False,False
000660.KS,RSI 80 돌파(극단 과매수),2025-10-24,81.8,9.61,13.73,1.76,False,False,False
000660.KS,RSI 80 돌파(극단 과매수),2025-10-29,81.8,3.76,10.57,-4.95,False,False,True
000660.KS,RSI 80 돌파(극단 과매수),2025-11-03,84.1,-2.26,-2.26,-10.9,True,True,True
000660.KS,RSI 80 돌파(극단 과매수),2026-01-08,80.7,-0.93,-0.13,17.33,True,True,False
000660.KS,RSI 80 돌파(극단 과매수),2026-01-30,80.6,-7.7,-3.19,-7.86,True,True,True
000660.KS,RSI 80 돌파(극단 과매수),2026-05-06,83.6,23.42,8.99,38.37,False,False,False
000660.KS,RSI 80 돌파(극단 과매수),2026-05-28,80.5,-9.57,-6.07,,True,True,False
000660.KS,RSI 30 이탈(과매도),2021-07-30,28.4,4.89,-9.78,-4.0,True,False,False
000660.KS,RSI 30 이탈(과매도),2021-08-11,27.6,-2.84,-1.42,0.95,False,False,True
000660.KS,RSI 30 이탈(과매도),2021-10-12,27.6,6.78,11.48,17.49,True,True,True
000660.KS,RSI 30 이탈(과매도),2022-06-17,29.6,-4.98,-8.95,4.06,False,False,True
000660.KS,RSI 30 이탈(과매도),2022-07-01,28.0,8.34,12.8,10.29,True,True,True
000660.KS,RSI 30 이탈(과매도),2022-09-23,28.6,-0.11,8.42,8.18,False,True,True
000660.KS,RSI 30 이탈(과매도),2024-07-25,29.0,1.74,-14.0,-7.89,True,False,False
000660.KS,RSI 30 이탈(과매도),2024-08-02,27.4,-0.98,11.95,-10.62,False,True,False
000660.KS,RSI 30 이탈(과매도),2025-04-07,29.2,9.34,7.16,18.33,True,True,True
003670.KS,RSI 70 돌파(과매수),2021-07-08,73.9,3.46,-2.83,-0.94,False,True,True
003670.KS,RSI 70 돌파(과매수),2022-04-08,78.9,-6.12,-9.35,-11.15,True,True,True
003670.KS,RSI 70 돌파(과매수),2022-07-28,70.7,0.0,18.45,23.99,False,False,False
003670.KS,RSI 70 돌파(과매수),2022-08-08,73.0,12.89,10.8,17.77,False,False,False
003670.KS,RSI 70 돌파(과매수),2022-08-22,71.5,5.94,2.81,9.37,False,False,False
003670.KS,RSI 70 돌파(과매수),2022-08-24,74.2,1.2,1.81,1.81,False,False,False
003670.KS,RSI 70 돌파(과매수),2022-08-29,73.4,-2.95,9.44,-11.5,True,False,True
003670.KS,RSI 70 돌파(과매수),2022-09-13,75.8,-0.28,-5.85,-4.74,True,True,True
003670.KS,RSI 70 돌파(과매수),2022-09-22,70.6,-16.62,-11.99,6.27,True,True,False
003670.KS,RSI 70 돌파(과매수),2022-11-01,71.0,3.68,15.69,8.09,False,False,False
003670.KS,RSI 70 돌파(과매수),2022-11-03,71.2,3.54,5.9,-2.59,False,False,True
003670.KS,RSI 70 돌파(과매수),2022-11-07,70.9,9.09,3.96,-2.56,False,False,True
003670.KS,RSI 70 돌파(과매수),2022-11-09,70.1,4.16,1.39,-10.85,False,False,True
003670.KS,RSI 70 돌파(과매수),2023-02-01,70.5,0.67,2.23,4.69,False,False,False
003670.KS,RSI 70 돌파(과매수),2023-02-03,71.8,0.66,-1.76,15.6,False,True,False
003670.KS,RSI 70 돌파(과매수),2023-02-07,70.8,0.22,-2.19,8.33,False,True,False
003670.KS,RSI 70 돌파(과매수),2023-02-16,72.2,-6.65,-1.72,7.08,True,True,False
003670.KS,RSI 70 돌파(과매수),2023-03-07,76.0,-8.25,-4.22,12.28,True,True,False
003670.KS,RSI 70 돌파(과매수),2023-04-03,71.2,5.72,33.28,17.33,False,False,False
003670.KS,RSI 70 돌파(과매수),2023-04-06,70.3,3.59,39.49,4.62,False,False,False
003670.KS,RSI 70 돌파(과매수),2023-04-14,80.2,10.8,-2.19,-7.15,False,True,True
003670.KS,RSI 70 돌파(과매수),2023-06-05,70.0,3.42,-1.71,-1.71,False,True,True
003670.KS,RSI 70 돌파(과매수),2023-07-18,76.0,30.57,11.14,-8.84,False,False,True
003670.KS,RSI 70 돌파(과매수),2025-07-18,72.0,-5.29,-12.62,-2.17,True,True,True
003670.KS,RSI 70 돌파(과매수),2025-10-14,71.7,20.58,44.57,32.27,False,False,False
003670.KS,RSI 70 돌파(과매수),2026-04-21,73.4,2.53,15.4,-6.24,False,False,True
003670.KS,RSI 70 돌파(과매수),2026-05-06,73.5,-12.82,-24.96,-33.1,True,True,True
003670.KS,RSI 80 돌파(극단 과매수),2022-08-11,81.3,-2.18,1.87,15.58,True,False,False
003670.KS,RSI 80 돌파(극단 과매수),2023-04-14,80.2,10.8,-2.19,-7.15,False,True,True
003670.KS,RSI 80 돌파(극단 과매수),2023-07-24,81.5,-2.77,-19.0,-13.47,True,True,True
003670.KS,RSI 80 돌파(극단 과매수),2025-10-16,81.3,6.27,14.88,9.14,False,False,False
003670.KS,RSI 30 이탈(과매도),2022-01-10,27.7,-1.92,-4.98,-16.48,False,False,False
003670.KS,RSI 30 이탈(과매도),2022-01-19,29.7,-4.38,-11.16,-7.57,False,False,False
003670.KS,RSI 30 이탈(과매도),2022-01-25,26.4,-5.0,-5.83,-4.58,False,False,False
003670.KS,RSI 30 이탈(과매도),2022-02-07,28.5,-2.24,4.04,-9.42,False,True,False
003670.KS,RSI 30 이탈(과매도),2022-02-14,27.8,6.42,4.59,-3.21,True,True,False
003670.KS,RSI 30 이탈(과매도),2022-03-11,29.0,4.46,16.34,24.75,True,True,True
003670.KS,RSI 30 이탈(과매도),2022-06-23,29.7,-4.46,-3.57,4.91,False,False,True
003670.KS,RSI 30 이탈(과매도),2022-06-30,29.3,0.93,2.8,24.77,True,True,True
003670.KS,RSI 30 이탈(과매도),2023-10-04,29.5,3.57,-5.36,4.02,True,False,True
003670.KS,RSI 30 이탈(과매도),2023-10-20,29.4,-16.17,-10.33,1.17,False,False,True
003670.KS,RSI 30 이탈(과매도),2023-10-25,25.9,-14.78,9.49,10.77,False,True,True
003670.KS,RSI 30 이탈(과매도),2024-01-19,30.0,-4.13,-5.03,9.69,False,False,True
003670.KS,RSI 30 이탈(과매도),2024-04-03,29.6,4.24,-4.61,4.24,True,False,True
003670.KS,RSI 30 이탈(과매도),2024-04-05,29.7,-1.12,3.75,5.06,False,True,True
003670.KS,RSI 30 이탈(과매도),2024-04-17,28.4,19.28,12.45,5.22,True,True,True
003670.KS,RSI 30 이탈(과매도),2024-07-26,26.8,8.13,-1.67,0.96,True,False,True
003670.KS,RSI 30 이탈(과매도),2024-11-14,29.9,-5.45,-1.13,-10.21,False,False,False
003670.KS,RSI 30 이탈(과매도),2024-12-09,29.1,7.22,-3.09,-3.68,True,False,False
003670.KS,RSI 30 이탈(과매도),2025-01-02,29.4,12.4,10.15,-7.25,True,True,False
003670.KS,RSI 30 이탈(과매도),2025-05-23,29.1,16.48,16.13,28.77,True,True,True
005380.KS,RSI 70 돌파(과매수),2022-07-25,71.2,0.0,0.0,-2.04,False,False,True
005380.KS,RSI 70 돌파(과매수),2022-08-02,70.5,-1.53,-3.31,0.0,True,True,False
005380.KS,RSI 70 돌파(과매수),2023-01-26,71.9,-2.97,-1.43,-1.03,True,True,True
005380.KS,RSI 70 돌파(과매수),2023-04-11,72.2,-0.36,4.63,8.28,True,False,False
005380.KS,RSI 70 돌파(과매수),2023-04-27,70.1,0.25,2.97,-2.23,False,False,True
005380.KS,RSI 70 돌파(과매수),2023-05-10,71.6,-2.62,-1.19,-5.71,True,True,True
005380.KS,RSI 70 돌파(과매수),2023-12-15,71.5,3.22,0.52,-5.76,False,False,True
005380.KS,RSI 70 돌파(과매수),2023-12-20,77.4,2.21,-6.73,-7.08,False,True,True
005380.KS,RSI 70 돌파(과매수),2024-02-02,78.5,9.69,6.61,15.52,False,False,False
005380.KS,RSI 70 돌파(과매수),2024-02-16,75.0,-3.37,4.88,-1.07,True,False,True
005380.KS,RSI 70 돌파(과매수),2024-02-29,70.4,1.0,-2.79,-11.45,False,True,True
005380.KS,RSI 70 돌파(과매수),2024-05-22,73.8,-5.78,-4.69,1.44,True,True,False
005380.KS,RSI 70 돌파(과매수),2024-06-19,70.3,1.05,-2.99,-9.15,False,True,True
005380.KS,RSI 70 돌파(과매수),2024-06-27,73.9,-6.88,-6.54,-14.26,True,True,True
005380.KS,RSI 70 돌파(과매수),2025-03-25,72.1,-9.73,-18.55,-14.14,True,True,True
005380.KS,RSI 70 돌파(과매수),2025-06-20,70.8,-2.38,0.24,-1.67,True,False,True
005380.KS,RSI 70 돌파(과매수),2025-10-16,78.4,4.13,9.5,12.19,False,False,False
005380.KS,RSI 70 돌파(과매수),2025-10-29,72.0,4.07,6.78,2.33,False,False,False
005380.KS,RSI 70 돌파(과매수),2025-12-05,78.1,-4.29,-8.41,16.19,True,True,False
005380.KS,RSI 70 돌파(과매수),2026-01-07,80.1,17.4,56.63,33.38,False,False,False
005380.KS,RSI 70 돌파(과매수),2026-01-28,70.5,2.34,3.35,11.76,False,False,False
005380.KS,RSI 70 돌파(과매수),2026-02-25,72.0,-3.78,-8.52,-17.56,True,True,True
005380.KS,RSI 70 돌파(과매수),2026-05-11,72.3,2.63,6.66,-5.69,False,False,True
005380.KS,RSI 80 돌파(극단 과매수),2024-02-05,81.8,3.15,0.63,6.05,False,False,False
005380.KS,RSI 80 돌파(극단 과매수),2024-02-07,81.6,3.06,-0.41,5.13,False,True,False
005380.KS,RSI 80 돌파(극단 과매수),2025-10-20,81.4,2.62,17.54,6.45,False,False,False
005380.KS,RSI 80 돌파(극단 과매수),2025-10-31,83.3,-8.97,-6.03,-7.39,True,True,True
005380.KS,RSI 80 돌파(극단 과매수),2026-01-07,80.1,17.4,56.63,33.38,False,False,False
005380.KS,RSI 80 돌파(극단 과매수),2026-01-13,84.1,17.98,20.32,24.63,False,False,False
005380.KS,RSI 80 돌파(극단 과매수),2026-02-27,81.7,-24.78,-24.93,-27.67,True,True,True
005380.KS,RSI 30 이탈(과매도),2021-07-09,26.7,1.77,-0.22,-3.1,True,False,False
005380.KS,RSI 30 이탈(과매도),2021-07-28,29.8,1.12,-1.8,-5.62,True,False,False
005380.KS,RSI 30 이탈(과매도),2021-08-17,26.3,-1.64,-0.23,-2.35,False,False,False
005380.KS,RSI 30 이탈(과매도),2021-10-01,24.5,5.68,8.01,10.59,True,True,True
005380.KS,RSI 30 이탈(과매도),2022-01-27,24.1,0.0,-3.22,-4.83,False,False,False
005380.KS,RSI 30 이탈(과매도),2022-02-10,29.1,-1.08,-6.74,-11.32,False,False,False
005380.KS,RSI 30 이탈(과매도),2022-02-24,25.0,2.6,-4.91,4.62,True,False,True
005380.KS,RSI 30 이탈(과매도),2022-03-07,29.9,-2.08,3.27,6.25,False,True,True
005380.KS,RSI 30 이탈(과매도),2022-10-11,27.6,0.0,-3.27,0.89,False,False,True
005380.KS,RSI 30 이탈(과매도),2022-10-24,26.2,1.86,4.95,2.79,True,True,True
005380.KS,RSI 30 이탈(과매도),2023-10-27,29.7,-1.25,-1.08,5.75,False,False,True
005380.KS,RSI 30 이탈(과매도),2024-08-05,30.0,8.71,14.29,2.23,True,True,True
005380.KS,RSI 30 이탈(과매도),2024-11-06,28.4,-3.2,5.81,-1.45,False,True,False
005380.KS,RSI 30 이탈(과매도),2024-11-13,29.9,9.3,10.56,7.55,True,True,True
005490.KS,RSI 70 돌파(과매수),2021-07-28,70.6,-5.71,-5.99,-9.66,True,True,True
005490.KS,RSI 70 돌파(과매수),2021-09-13,70.3,-7.6,-10.67,-16.22,True,True,True
005490.KS,RSI 70 돌파(과매수),2022-03-23,70.5,-4.1,-5.75,-2.28,True,True,True
