date,close,rsi14,regime,action,ticker,return_90d_pct
2026-07-15,64866.30859375,55.82,accumulation,매수,BTC-USD,-13.69
2026-07-15,1923.5799560546875,66.92,accumulation,매수,ETH-USD,-18.1
2026-07-15,580.8400268554688,51.3,accumulation,매수,BNB-USD,-8.61
2026-07-15,77.51000213623047,52.87,accumulation,매수,SOL-USD,-12.9
2026-07-15,1.1160000562667847,50.27,accumulation,매수,XRP-USD,-23.17
2026-07-15,0.16500000655651093,47.52,accumulation,매수,ADA-USD,-36.35
2026-07-15,0.07406000047922134,41.49,accumulation,매수,DOGE-USD,-25.34
2026-07-15,6.690000057220459,48.96,accumulation,매수,AVAX-USD,-31.23
2026-07-15,0.8479999899864197,42.22,accumulation,매수,DOT-USD,-36.29
2026-07-15,8.550000190734863,64.16,accumulation,매수,LINK-USD,-10.76
2023-10-31,0.008240999653935432,63.67,accumulation,매수,POL-USD,-15.0
2026-07-15,45.060001373291016,53.57,accumulation,매수,LTC-USD,-20.06
2026-07-15,0.3245364725589752,46.97,accumulation,매수,TRX-USD,-0.75
2026-07-15,1.562999963760376,40.38,accumulation,매수,ATOM-USD,-13.62
2026-07-15,4.349999904632568,48.83,accumulation,매수,ENS-USD,-30.2
2026-07-15,7.090000152587891,48.51,accumulation,매수,ETC-USD,-18.96
2026-07-15,1.0581943988800049,45.99,accumulation,매수,GAS-USD,-39.91
2026-07-15,0.03449999913573265,42.61,accumulation,매수,ZETA-USD,-35.75
2026-07-15,0.39750943253785487,48.75,accumulation,매수,MASK-USD,-16.23
2026-07-15,1.5767608951870458,39.14,accumulation,매수,TRUMP-USD,-48.77
2026-07-15,0.048500001430511475,43.99,accumulation,매수,SAND-USD,-42.32
2026-07-15,0.03407757214374209,47.48,accumulation,매수,ID-USD,4.19
