ticker,per,forward_per,pbr,dividend_yield_pct,market_cap,roe_pct,profit_margin_pct,revenue_growth_yoy_pct,earnings_growth_yoy_pct,eps_growth_q_pct,consensus_target,analyst_count,recommendation_mean,sector,industry,currency
AAPL,40.268436,34.541164,45.87052,0.33,4891182891008.0,141.47099,27.152001999999996,16.6,21.8,19.400000000000002,318.8093,43.0,2.02128,Technology,Consumer Electronics,USD
MSFT,22.73377,19.696772,6.8433228,0.95,2835433652224.0,34.013999,39.341998000000004,18.3,23.400000000000002,23.1,556.7513,55.0,1.32759,Technology,Software - Infrastructure,USD
AMZN,27.731184,23.4287,5.6484075,,2496832733184.0,24.285,12.224,16.6,74.8,76.7,313.1321,62.0,1.33333,Consumer Cyclical,Internet Retail,USD
GOOGL,16.051205,21.634838,6.2822223,0.26,3910399426560.0,48.676,54.771,24.2,294.09999999999997,297.90000000000003,428.11536,54.0,1.40625,Communication Services,Internet Content & Information,USD
META,21.627542,16.08101,6.199056,0.33,1510844137472.0,32.930002,32.836999999999996,33.1,62.4,60.9,825.841,58.0,1.34921,Communication Services,Internet Content & Information,USD
NVDA,31.675343,16.072695,25.630732,0.48,5009871732736.0,114.28799999999998,62.966,85.2,214.5,210.6,302.82758,58.0,1.29508,Technology,Semiconductors,USD
TSLA,336.5914,139.7474,14.295566,,1236326809600.0,4.6669997,3.6730002999999996,25.5,-3.0,-4.8,402.76276,40.0,2.34783,Consumer Cyclical,Auto Manufacturers,USD
BRK-B,14.743223,23.005392,,,1067491590144.0,10.499,19.305,4.3999999999999995,119.6,119.6,520.3333,3.0,,Financial Services,Insurance - Diversified,USD
JPM,15.133247,14.278657,2.6555743,1.71,938902814720.0,17.788999999999998,34.921002,30.4,46.9,41.199999999999996,371.25,20.0,2.08696,Financial Services,Banks - Diversified,USD
V,31.041883,23.920183,19.082716,0.76,676526292992.0,60.349,51.679003,17.1,35.5,31.5,403.26343,38.0,1.36585,Financial Services,Credit Services,USD
JNJ,30.592335,20.52652,7.8079143,2.07,634060931072.0,,21.482,6.6000000000000005,-1.0,-0.1,270.5909,22.0,1.91304,Healthcare,Drug Manufacturers - General,USD
WMT,38.545776,33.321564,9.239534,0.91,871170899968.0,24.132,3.1350000000000002,7.3,19.400000000000002,18.8,138.2683,41.0,1.53488,Consumer Defensive,Discount Stores,USD
MA,31.212257,23.673212,71.232834,0.66,476834856960.0,232.076,45.876,15.8,21.2,18.4,644.2368,38.0,1.36585,Financial Services,Credit Services,USD
PG,21.582724,20.89994,6.3866386,2.96,343258791936.0,31.112000000000002,19.162000000000003,7.3999999999999995,5.800000000000001,4.3,163.6087,23.0,2.04,Consumer Defensive,Household & Personal Products,USD
UNH,31.634584,18.753365,3.6472862,2.19,382092673024.0,14.152999,3.137,0.4,61.5,61.0,475.23077,26.0,1.59259,Healthcare,Healthcare Plans,USD
