date,value
2022-07-12,-0.1909
2022-07-13,-0.1342
2022-07-14,-0.1053
2022-07-15,-0.0803
2022-07-16,-0.055
2022-07-17,-0.0803
2022-07-18,0.022
2022-07-19,0.0976
2022-07-20,0.0908
2022-07-21,0.0846
2022-07-22,0.0565
2022-07-23,0.0422
2022-07-24,0.0542
2022-07-25,-0.0231
2022-07-26,-0.0447
2022-07-27,0.0736
2022-07-28,0.1381
2022-07-29,0.1459
2022-07-30,0.1232
2022-07-31,0.1051
2022-08-01,0.1033
2022-08-02,0.0832
2022-08-03,0.0682
2022-08-04,0.0569
2022-08-05,0.0999
2022-08-06,0.0824
2022-08-07,0.0933
2022-08-08,0.1382
2022-08-09,0.0974
2022-08-10,0.1475
2022-08-11,0.1486
2022-08-12,0.1801
2022-08-13,0.1823
2022-08-14,0.1746
2022-08-15,0.1592
2022-08-16,0.1444
2022-08-17,0.1083
2022-08-18,0.1006
2022-08-19,-0.057
2022-08-20,-0.04
2022-08-21,-0.0117
2022-08-22,-0.0283
2022-08-23,-0.0116
2022-08-24,-0.0186
2022-08-25,-0.0067
2022-08-26,-0.0986
2022-08-27,-0.1118
2022-08-28,-0.1374
2022-08-29,-0.0959
2022-08-30,-0.1249
2022-08-31,-0.1104
2022-09-01,-0.1039
2022-09-02,-0.1136
2022-09-03,-0.1234
2022-09-04,-0.1126
2022-09-05,-0.1236
2022-09-06,-0.1876
2022-09-07,-0.1559
2022-09-08,-0.1533
2022-09-09,-0.012
2022-09-10,0.0124
2022-09-11,0.0139
2022-09-12,0.0576
2022-09-13,-0.0906
2022-09-14,-0.0834
2022-09-15,-0.1196
2022-09-16,-0.116
2022-09-17,-0.0895
2022-09-18,-0.1372
2022-09-19,-0.1271
2022-09-20,-0.1736
2022-09-21,-0.1978
2022-09-22,-0.1346
2022-09-23,-0.1403
2022-09-24,-0.1681
2022-09-25,-0.1768
2022-09-26,-0.1482
2022-09-27,-0.1537
2022-09-28,-0.1285
2022-09-29,-0.1219
2022-09-30,-0.1282
2022-10-01,-0.1366
2022-10-02,-0.1569
2022-10-03,-0.1138
2022-10-04,-0.0644
2022-10-05,-0.0769
2022-10-06,-0.0906
2022-10-07,-0.1186
2022-10-08,-0.1265
2022-10-09,-0.1255
2022-10-10,-0.144
2022-10-11,-0.1515
2022-10-12,-0.1417
2022-10-13,-0.1253
2022-10-14,-0.1394
2022-10-15,-0.1468
2022-10-16,-0.1332
2022-10-17,-0.1113
2022-10-18,-0.1271
2022-10-19,-0.1409
2022-10-20,-0.1474
2022-10-21,-0.1371
2022-10-22,-0.1339
2022-10-23,-0.1089
2022-10-24,-0.1243
2022-10-25,-0.0721
2022-10-26,-0.0237
2022-10-27,-0.0596
2022-10-28,-0.0369
2022-10-29,-0.023
2022-10-30,-0.0357
2022-10-31,-0.0442
2022-11-01,-0.0442
2022-11-02,-0.0672
2022-11-03,-0.0635
2022-11-04,0.0015
2022-11-05,0.0105
2022-11-06,-0.0127
2022-11-07,-0.0353
2022-11-08,-0.1755
2022-11-09,-0.3599
2022-11-10,-0.234
2022-11-11,-0.2753
2022-11-12,-0.2819
2022-11-13,-0.3124
2022-11-14,-0.2886
2022-11-15,-0.2703
2022-11-16,-0.2807
2022-11-17,-0.2736
2022-11-18,-0.2588
2022-11-19,-0.2557
2022-11-20,-0.2861
2022-11-21,-0.3163
2022-11-22,-0.2868
