Date,sma111,sma350x2
2021-08-18,,
2021-08-19,,
2021-08-20,,
2021-08-21,,
2021-08-22,,
2021-08-23,,
2021-08-24,,
2021-08-25,,
2021-08-26,,
2021-08-27,,
2021-08-28,,
2021-08-29,,
2021-08-30,,
2021-08-31,,
2021-09-01,,
2021-09-02,,
2021-09-03,,
2021-09-04,,
2021-09-05,,
2021-09-06,,
2021-09-07,,
2021-09-08,,
2021-09-09,,
2021-09-10,,
2021-09-11,,
2021-09-12,,
2021-09-13,,
2021-09-14,,
2021-09-15,,
2021-09-16,,
2021-09-17,,
2021-09-18,,
2021-09-19,,
2021-09-20,,
2021-09-21,,
2021-09-22,,
2021-09-23,,
2021-09-24,,
2021-09-25,,
2021-09-26,,
2021-09-27,,
2021-09-28,,
2021-09-29,,
2021-09-30,,
2021-10-01,,
2021-10-02,,
2021-10-03,,
2021-10-04,,
2021-10-05,,
2021-10-06,,
2021-10-07,,
2021-10-08,,
2021-10-09,,
2021-10-10,,
2021-10-11,,
2021-10-12,,
2021-10-13,,
2021-10-14,,
2021-10-15,,
2021-10-16,,
2021-10-17,,
2021-10-18,,
2021-10-19,,
2021-10-20,,
2021-10-21,,
2021-10-22,,
2021-10-23,,
2021-10-24,,
2021-10-25,,
2021-10-26,,
2021-10-27,,
2021-10-28,,
2021-10-29,,
2021-10-30,,
2021-10-31,,
2021-11-01,,
2021-11-02,,
2021-11-03,,
2021-11-04,,
2021-11-05,,
2021-11-06,,
2021-11-07,,
2021-11-08,,
2021-11-09,,
2021-11-10,,
2021-11-11,,
2021-11-12,,
2021-11-13,,
2021-11-14,,
2021-11-15,,
2021-11-16,,
2021-11-17,,
2021-11-18,,
2021-11-19,,
2021-11-20,,
2021-11-21,,
2021-11-22,,
2021-11-23,,
2021-11-24,,
2021-11-25,,
2021-11-26,,
2021-11-27,,
2021-11-28,,
2021-11-29,,
2021-11-30,,
2021-12-01,,
2021-12-02,,
2021-12-03,,
2021-12-04,,
2021-12-05,,
2021-12-06,53890.26932010135,
2021-12-07,53943.41254926802,
2021-12-08,53977.53163710586,
2021-12-09,53962.513126407655,
2021-12-10,53947.538464245496,
2021-12-11,53947.90653153153,
2021-12-12,53952.88119369369,
2021-12-13,53944.15473676802,
2021-12-14,53923.000175957204,
2021-12-15,53940.60831925676,
2021-12-16,53928.05658783784,
2021-12-17,53903.72994087838,
2021-12-18,53885.88260135135,
2021-12-19,53882.747747747744,
2021-12-20,53880.16747606982,
2021-12-21,53880.97455658784,
2021-12-22,53874.6753589527,
2021-12-23,53881.51467483108,
2021-12-24,53889.42071368243,
2021-12-25,53877.49683277027,
2021-12-26,53861.06422438063,
2021-12-27,53895.562324042796,
2021-12-28,53909.05299831081,
2021-12-29,53909.533079954956,
2021-12-30,53930.2016821509,
2021-12-31,53940.15653153153,
2022-01-01,53954.78304476351,
2022-01-02,53976.24380630631,
2022-01-03,53970.52871621621,
2022-01-04,53949.99922578829,
2022-01-05,53912.03205940315,
2022-01-06,53875.035754504504,
2022-01-07,53814.491061373876,
2022-01-08,53764.704778997744,
2022-01-09,53756.30658783784,
2022-01-10,53766.465019707204,
2022-01-11,53758.90959318694,
2022-01-12,53750.38710585586,
2022-01-13,53748.15125281532,
2022-01-14,53751.60265343468,
2022-01-15,53751.32210726351,
2022-01-16,53759.233354448195,
2022-01-17,53770.188379786036,
2022-01-18,53777.497114301805,
2022-01-19,53759.05957911036,
2022-01-20,53692.06387246621,
2022-01-21,53590.67493665541,
2022-01-22,53472.02896255631,
2022-01-23,53356.38844313063,
2022-01-24,53222.51020551802,
2022-01-25,53056.67736486487,
2022-01-26,52903.939857826575,
2022-01-27,52752.321720157655,
2022-01-28,52597.511894707204,
2022-01-29,52447.661458333336,
2022-01-30,52271.38048986487,
2022-01-31,52113.20090793919,
2022-02-01,51945.112401463964,
2022-02-02,51761.61204954955,
2022-02-03,51541.43774634009,
2022-02-04,51366.741307713964,
2022-02-05,51185.54803631757,
2022-02-06,51008.848536036036,
2022-02-07,50824.86919341216,
2022-02-08,50627.802611204956,
2022-02-09,50466.799232826575,
2022-02-10,50312.50056306306,
2022-02-11,50141.45840371621,
2022-02-12,49973.11275337838,
2022-02-13,49785.344207488735,
2022-02-14,49625.19218046171,
2022-02-15,49499.90223817567,
2022-02-16,49349.80964949324,
2022-02-17,49154.40466638513,
2022-02-18,48957.48704954955,
