Date,SOXX,466950.KS,469170.KS
2023-10-17,1001779.007874964,1000958.8866187398,1000000.0000000001
2023-10-18,991521.0681861491,992192.3491064033,990601.6256053554
2023-10-19,982874.6151014715,982411.8613007675,975661.4513886655
2023-10-20,974433.3163373261,974313.1970266631,961423.3860469155
2023-10-23,972417.8509542735,970068.5145828229,959480.8875619525
2023-10-24,980438.0993167431,975485.1152525446,967735.8879221013
2023-10-25,964287.6630875636,968792.4487908499,943105.1628333714
2023-10-26,959142.175019831,958627.2278357531,926194.448199963
2023-10-27,956503.0819129165,953737.8069517212,926808.6795132067
2023-10-30,960397.5343481523,960099.6027685781,936679.5008146269
2023-10-31,964061.666567883,961272.08365375,931567.0569905003
2023-11-01,975297.1373731875,970116.9064871512,937266.2488400596
2023-11-02,993758.3243036888,989067.7409687479,960847.9698059986
2023-11-03,1005558.1217734893,997644.6063298417,971005.8448842388
2023-11-06,1004076.0666522635,995088.5441168624,1017001.3841842641
2023-11-07,1007069.9222391378,998244.7255247731,996384.983176078
2023-11-08,1007796.5499770709,1003677.3346873817,989251.2458817028
2023-11-09,1000156.4068623234,998145.0674043881,984211.5841957724
2023-11-10,1016903.0388228104,1005060.3111059694,985341.3101681713
2023-11-13,1014320.761552817,1009147.1922768722,986774.563431823
2023-11-14,1037276.7776394952,1026398.9341446154,1010258.566515452
2023-11-15,1039664.6150718633,1029104.669318485,1009142.6306729502
2023-11-16,1041466.6989032654,1028304.0930899617,1007853.3509014564
2023-11-17,1044832.1187187247,1031191.3003344558,1008848.8150204348
2023-11-20,1052997.6137669845,1035508.5505153529,1018155.9801652107
2023-11-21,1048011.5924165379,1037753.4929153812,1016386.4349012279
2023-11-22,1051253.4117864908,1041317.0239511398,1017473.0090154416
2023-11-24,1051774.38633015,1042797.752727613,1020792.6378475114
2023-11-27,1051837.2096038563,1040386.9739256455,1017547.1144871612
2023-11-28,1052667.3095922729,1042157.7450659254,1021857.3469885475
2023-11-29,1056431.8560295526,1043841.0509315388,1028472.8470623863
2023-11-30,1056485.1576748618,1046939.6825847247,1029436.6920548724
2023-12-01,1066804.650208936,1056171.1292220782,1033463.8747769049
2023-12-04,1060487.4644752364,1053189.3991421766,1031860.8596474457
2023-12-05,1060979.8583764578,1050643.7335943994,1027582.1832745791
2023-12-06,1060274.0374117605,1053308.3864189046,1026835.7311380864
2023-12-07,1067771.154257799,1055260.3930253815,1030765.0071898605
2023-12-08,1068355.6619834565,1054495.7888971858,1034263.580829431
2023-12-11,1075707.5434749187,1059580.033091477,1035767.5351898213
2023-12-12,1079545.9572573178,1064328.5402900758,1039084.8247257463
2023-12-13,1097655.6349965087,1081545.3274176877,1050994.1013776953
2023-12-14,1111670.648756131,1090585.0477738557,1063995.5835763887
2023-12-15,1110001.1622732275,1087879.978613887,1066393.575938717
2023-12-18,1111649.7107574511,1090840.4260068557,1071428.165341024
2023-12-19,1118152.9300407614,1098266.2014104708,1076191.3987935144
2023-12-20,1103729.6896147393,1089369.2101341295,1067455.843670021
2023-12-21,1114081.664077824,1093475.3450161607,1077753.6384853767
2023-12-22,1116805.869530703,1096718.9396716435,1080056.8915588984
2023-12-26,1124102.4622465037,1100557.670046158,1088102.4890190098
2023-12-27,1128882.2000008174,1105791.350150222,1098973.3877833497
