Date,로테이션(금리보정),VOO B&H,phase
2021-06-21,1000000.0000000001,1000000.0,expansion
2021-06-22,1003637.2651107754,1005306.778558129,expansion
2021-06-23,1003078.2137460008,1004224.8049809115,expansion
2021-06-24,1010380.4145581768,1009969.6076450573,expansion
2021-06-25,1011949.1814650339,1013704.8860710951,expansion
2021-06-28,1018408.324139495,1015817.415206917,expansion
2021-06-29,1019420.1000339558,1016264.6422095328,expansion
2021-06-30,1021536.3384032791,1017195.0634987201,expansion
2021-07-01,1022371.5357472119,1022933.4494643196,expansion
2021-07-02,1028771.9179314856,1030714.1186027101,expansion
2021-07-06,1027445.4233546333,1028775.4313393414,expansion
2021-07-07,1027822.0525423652,1032316.4357738711,expansion
2021-07-08,1020187.6772436465,1024096.7293665359,expansion
2021-07-09,1029875.7173102787,1034901.436555273,expansion
2021-07-12,1034450.3654946296,1038649.3795179151,expansion
2021-07-13,1030592.3585058748,1035134.0418775699,expansion
2021-07-14,1032432.9198966506,1036555.6783265116,expansion
2021-07-15,1027490.0874655327,1033221.3591293623,expansion
2021-07-16,1017076.3321945571,1025182.2490140026,expansion
2021-07-19,1009047.5449277449,1009854.0226409831,recovery
2021-07-20,1019632.8357896453,1024122.7338816965,expansion
2021-07-21,1029574.9890057861,1032729.9751091199,expansion
2021-07-22,1029451.4758114447,1034927.1877797018,expansion
2021-07-23,1035852.8000869772,1045266.6843238451,expansion
2021-07-26,1037124.0119222042,1047929.0232087765,expansion
2021-07-27,1032039.9286266925,1043276.3257511317,expansion
2021-07-28,1035270.003358129,1042707.6036273598,expansion
2021-07-29,1042959.8992835786,1047205.4560174575,expansion
2021-07-30,1041444.1733627775,1042087.3790547308,expansion
2021-08-02,1042144.6485540692,1039967.4200574345,expansion
2021-08-03,1049516.3096632985,1048368.6514894298,expansion
2021-08-04,1047634.3591558924,1043353.9171453932,expansion
2021-08-05,1050884.9129930763,1049867.5416116568,expansion
2021-08-06,1047504.7215827039,1051677.135031907,expansion
2021-08-09,1044359.0644857952,1050668.8690577256,expansion
2021-08-10,1043412.1201909052,1051987.4161787091,expansion
2021-08-11,1045787.7005975815,1054520.40792979,expansion
2021-08-12,1045100.0378660522,1057596.623870946,expansion
2021-08-13,1050300.6148101164,1059690.3250623497,expansion
2021-08-16,1051973.47257632,1062223.4012436743,expansion
2021-08-17,1043358.3043385289,1055218.4771874123,expansion
2021-08-18,1033382.6846078502,1043870.883529576,recovery
2021-08-19,1036177.4509568315,1045344.2757181067,recovery
2021-08-20,1042690.2387818728,1053615.737865031,expansion
2021-08-23,1054921.4066688877,1062947.3061559696,expansion
