ym,선택ETF,strategy_ret,benchmark_ret,strategy_cum,benchmark_cum
2021-10,"SMH, SOXX, 091160.KS",5.053,7.039,105.053,107.039
2021-11,"305080.KS, SHY, XAR",-1.231,-0.734,103.75979757,106.25333373999999
2021-12,"069500.KS, XAR, ITA",5.264,4.56,109.22171331408481,111.098485758544
2022-01,"IRBO, URNM, SHY",-7.254,-5.241,101.2987702302811,105.27581411993872
2022-02,"381180.KS, 069500.KS, SHY",0.789,-2.98,102.098017527398,102.13859485916454
2022-03,"VEU, INDA, VT",1.09,3.789,103.21088591844662,106.00862621837828
2022-04,"SHY, 305080.KS, BND",-1.289,-8.784,101.88049759895786,96.69682849135593
2022-05,"VT, QQQ, SHY",-0.165,0.259,101.71239477791958,96.94727327714855
2022-06,"305080.KS, 091160.KS, TLT",-6.274,-8.264,95.33095912955291,88.93555061352498
2022-07,"COPX, 091160.KS, 381180.KS",6.24,9.199,101.279610979237,97.11673191446314
2022-08,"GLD, 091160.KS, 381180.KS",-3.042,-4.129,98.19868521324862,93.10678205371497
2022-09,"SHY, TLT, XLV",-3.989,-9.199,94.28153966009214,84.54188917259373
2022-10,"069500.KS, SOXX, SMH",3.768,8.118,97.8340680744844,91.40499973562488
2022-11,"GLD, 091160.KS, TLT",7.128,5.505,104.80768044683366,96.43684497107104
2022-12,"360200.KS, 360750.KS, 379800.KS",-8.055,-5.732,96.36542178684121,90.90908501732923
2023-01,"069500.KS, 091160.KS, 305080.KS",7.142,6.29,103.24784021085742,96.62726646491924
2023-02,"305080.KS, 429000.KS, INDA",2.014,-2.498,105.3272517127041,94.21351734862556
2023-03,"XLU, VPU, INDA",3.631,3.71,109.15168422239239,97.70883884225955
2023-04,"429000.KS, INDA, 305080.KS",4.535,1.59,114.10171310187789,99.26240937985149
2023-05,"XAR, SCHD, VPU",-4.33,0.482,109.16110892456659,99.74085419306238
2023-06,"SCHD, XLU, VPU",2.771,6.51,112.18596325286632,106.23398380103073
2023-07,"SHY, VPU, XLU",1.734,3.29,114.131267855671,109.72908186808463
2023-08,"305080.KS, TLT, BND",-0.216,-1.628,113.88474431710274,107.9426924152722
2023-09,"XLU, VPU, XLV",-4.732,-4.744,108.49571821601742,102.8218910870917
2023-10,"GLD, 448290.KS, VPU",1.646,-2.172,110.28155773785306,100.58859961268007
2023-11,"COPX, XLV, 091160.KS",9.419,9.17,120.66897766118146,109.81257419716282
2023-12,"429000.KS, 305080.KS, COPX",6.255,4.579,128.21682221388835,114.8408919696509
2024-01,"XLU, VPU, 305080.KS",-1.23,1.607,126.63975530065753,116.68638510360321
2024-02,"VPU, XLU, IRBO",2.35,5.207,129.61578955022298,122.76224517594783
2024-03,"URNM, BND, URA",2.707,3.28,133.1244889733475,126.78884681771892
2024-04,"IRBO, URNM, URA",-1.699,-4.009,130.86270390569032,121.70588194879657
2024-05,"476760.KS, AIQ, TLT",2.542,5.026,134.18923383897297,127.8228195755431
2024-06,"069500.KS, 476760.KS, TLT",4.379,3.567,140.0653803887816,132.3822595498027
2024-07,"URNM, URA, PAVE",0.354,1.16,140.5612118353579,133.91789376058043
2024-08,"466950.KS, 091160.KS, 381180.KS",-4.412,2.394,134.35965116918192,137.12388813720872
2024-09,"476760.KS, 091160.KS, 305080.KS",-2.88,2.176,130.49009321550946,140.1077039430744
2024-10,"305080.KS, 476760.KS, 069500.KS",-0.248,-0.948,130.166477784335,138.77948290969405
2024-11,"069500.KS, 476760.KS, XLV",-0.454,5.889,129.5755219751941,146.95220665824593
2024-12,"091160.KS, 069500.KS, SOXX",1.432,-2.334,131.4310434498789,143.52234215484248
2025-01,"TLT, COPX, URNM",0.396,2.695,131.9515103819404,147.39026927591547
2025-02,"COPX, URNM, INDA",-6.642,-1.265,123.18729106237194,145.52578236957515
2025-03,"INDA, URA, SOXX",-3.399,-5.608,119.00015503916192,137.36469649428938
2025-04,"381180.KS, SOXX, SMH",-2.178,-0.811,116.40833166240898,136.2506688057207
2025-05,"305080.KS, 476760.KS, 091160.KS",-1.722,6.282,114.40378019118229,144.8099358200961
2025-06,"429000.KS, 476760.KS, XLV",0.07,5.173,114.48386283731611,152.30095380006966
2025-07,"305080.KS, 429000.KS, 476760.KS",3.245,2.287,118.19886418638703,155.78407661347725
2025-08,"SCHD, XLV, INDA",3.157,2.076,121.93040232875127,159.01815404397306
2025-09,"INDA, VPU, XLU",2.88,3.549,125.44199791581931,164.66170833099366
2025-10,"INDA, DXJ, BND",3.327,2.394,129.6154531864786,168.60370962843768
2025-11,"XLU, VPU, 0072R0.KS",2.83,0.218,133.28357051165594,168.97126571542768
2025-12,"URA, ITA, AIQ",1.691,0.079,135.53739568900804,169.10475301534288
2026-01,"476760.KS, TLT, 466950.KS",3.556,1.449,140.35710547970916,171.55508088653517
2026-02,"INDA, 476760.KS, 305080.KS",2.392,-0.814,143.7144474427838,170.15862252811877
2026-03,"INDA, 379800.KS, 360750.KS",-4.103,-5.008,137.8178436642064,161.6370787119106
2026-04,"381180.KS, 466950.KS, 448290.KS",28.529,10.548,177.13589628316782,178.68655777444292
2026-05,"TLT, 0072R0.KS, 476760.KS",0.656,5.285,178.2979077627854,188.13014235282225
2026-06,"0072R0.KS, XLU, VPU",-1.134,-0.96,176.27600948875542,186.32409298623514
2026-07,"GLD, URNM, 0072R0.KS",-3.892,-0.023,169.41534719945307,186.28123844484833
2026-08,"TLT, BND, 0072R0.KS",2.667,3.425,173.93365450926245,192.66137086158434
